index,start,end,weeks,came_from,went_to,outcome,next_nber_recession,weeks_until_recession,near
1,1979-10-12,1979-10-26,3,expansion,expansion,reverted,1980-01,9.0,True
2,1982-09-10,1982-09-24,3,expansion,contraction,progressed,1990-07,405.0,False
3,1989-05-26,1989-09-29,19,expansion,expansion,reverted,1990-07,39.0,False
4,1990-07-20,1990-08-24,6,expansion,contraction,progressed,2001-03,548.0,False
5,1993-05-07,1993-05-21,3,expansion,expansion,reverted,2001-03,405.0,False
6,1995-05-05,1995-07-14,11,expansion,expansion,reverted,2001-03,293.0,False
7,1998-08-28,1998-08-28,1,expansion,expansion,reverted,2001-03,130.0,False
8,2000-07-21,2000-12-29,24,expansion,contraction,progressed,2001-03,8.0,True
9,2005-10-21,2005-11-11,4,expansion,expansion,reverted,2007-12,107.0,False
10,2007-09-07,2007-10-05,5,expansion,expansion,reverted,2007-12,8.0,True
11,2008-01-11,2008-01-25,3,expansion,contraction,progressed,2020-02,627.0,False
12,2018-12-21,2019-04-12,17,expansion,expansion,reverted,2020-02,42.0,False
13,2019-07-05,2019-08-16,7,expansion,expansion,reverted,2020-02,24.0,True
14,2022-07-15,2022-08-05,4,expansion,expansion,reverted,,,False
15,2023-01-13,2023-02-03,4,expansion,expansion,reverted,,,False
16,2025-12-05,2026-01-02,5,expansion,expansion,reverted,,,False
