,official_current_phase,official_major_phase,raw_major_phase,official_subphase,activity_level,activity_momentum,negative_level_domains,negative_momentum_domains,concentration,candidate_h_phase,candidate_i_phase,usrec
1995-01-06,expansion_early,expansion,expansion,early,0.9688080056986689,0.7095533982691801,0,0,0.35351526967982616,expansion_late,expansion_late,0
1995-01-13,expansion_early,expansion,expansion,early,0.9692865432493895,0.5849239777159863,0,0,0.35108392904818264,expansion_late,expansion_middle,0
1995-01-20,expansion_middle,expansion,expansion,middle,0.9460707096196914,0.23312309603020182,0,0,0.33070205942789205,expansion_late,expansion_early,0
1995-01-27,expansion_late,expansion,expansion,late,0.9406167100273007,0.2026931362391,0,0,0.3326195768163192,expansion_late,expansion_early,0
1995-02-03,expansion_late,expansion,expansion,late,0.9486857821199596,0.3467622781427375,0,0,0.32979047217983676,expansion_late,expansion_middle,0
1995-02-10,expansion_late,expansion,expansion,late,0.9191407281559257,0.25169459634071734,0,0,0.34039132686824364,expansion_late,expansion_late,0
1995-02-17,slowdown_early,slowdown,slowdown,early,0.8467209761574411,-0.36305920004880354,0,1,0.318541866625981,slowdown_early,slowdown_early,0
1995-02-24,slowdown_early,slowdown,slowdown,early,0.8337941976761376,-0.41442108681986783,0,1,0.3234803996097454,slowdown_early,slowdown_early,0
1995-03-03,slowdown_early,slowdown,slowdown,early,0.8127356689130447,-0.5499375828098373,0,1,0.3318619947089109,slowdown_early,slowdown_early,0
1995-03-10,slowdown_early,slowdown,slowdown,early,0.7959567561482952,-0.6692054794703025,0,2,0.3353890221318282,slowdown_early,slowdown_early,0
1995-03-17,slowdown_middle,slowdown,slowdown,middle,0.7736956041541374,-0.5944417811574328,0,2,0.31768156247309765,slowdown_early,slowdown_early,0
1995-03-24,slowdown_middle,slowdown,slowdown,middle,0.7197083090216864,-0.8348667081073724,0,3,0.34151172818938164,slowdown_middle,slowdown_early,0
1995-03-31,slowdown_late,slowdown,slowdown,late,0.7207472011070297,-0.8500614584848696,0,3,0.341019469834548,slowdown_middle,slowdown_early,0
1995-04-07,slowdown_late,slowdown,slowdown,late,0.7216608600425435,-0.8575576385661925,0,3,0.3397015685775755,slowdown_middle,slowdown_early,0
1995-04-14,slowdown_late,slowdown,slowdown,late,0.71408255505585,-0.8613201481788177,0,3,0.34241579109026826,slowdown_middle,slowdown_early,0
1995-04-21,slowdown_late,slowdown,slowdown,late,0.6478266348706316,-0.9011586344156429,0,3,0.31509515340190775,slowdown_middle,slowdown_middle,0
1995-04-28,slowdown_late,slowdown,slowdown,late,0.6390292301151264,-0.8903384276896682,0,3,0.31943301381632916,slowdown_middle,slowdown_middle,0
1995-05-05,slowdown_late,slowdown,slowdown,late,0.6158877700094136,-0.9440323064858076,0,3,0.33143543813068943,slowdown_middle,slowdown_early,0
1995-05-12,slowdown_late,slowdown,slowdown,late,0.5823349939673641,-1.181360733144577,0,3,0.3505319704414728,slowdown_middle,slowdown_middle,0
1995-05-19,slowdown_late,slowdown,slowdown,late,0.5302214151332958,-1.035361992895853,0,3,0.39793665105395726,slowdown_middle,slowdown_middle,0
1995-05-26,slowdown_late,slowdown,slowdown,late,0.5149955786680849,-1.0958098253547957,0,3,0.40767961187049445,slowdown_late,slowdown_late,0
1995-06-02,slowdown_late,slowdown,slowdown,late,0.47811653327007814,-1.2218606861042551,0,4,0.4379517345671734,slowdown_late,slowdown_late,0
1995-06-09,slowdown_late,slowdown,slowdown,late,0.4764133322096689,-1.143896019779885,0,4,0.43701764073012556,slowdown_late,slowdown_late,0
1995-06-16,slowdown_late,slowdown,slowdown,late,0.491400971112952,-0.9909034579458884,0,4,0.41704625481535146,slowdown_late,slowdown_middle,0
1995-06-23,slowdown_late,slowdown,slowdown,late,0.482151294330725,-0.7718615191192271,0,3,0.41248621758162296,slowdown_late,slowdown_middle,0
1995-06-30,slowdown_late,slowdown,slowdown,late,0.5116922742946908,-0.5390457668537824,0,2,0.39830279220973797,slowdown_late,slowdown_middle,0
1995-07-07,slowdown_middle,slowdown,slowdown,middle,0.5124568445011158,-0.4867166280473012,0,2,0.3983761937225946,slowdown_middle,slowdown_early,0
1995-07-14,slowdown_middle,slowdown,slowdown,middle,0.49828058627650085,-0.3558763025801367,0,2,0.4062303642045951,slowdown_middle,slowdown_early,0
1995-07-21,slowdown_middle,slowdown,slowdown,middle,0.46473245476583297,-0.3686095506716042,0,2,0.30925148703039257,slowdown_middle,slowdown_early,0
1995-07-28,slowdown_middle,slowdown,slowdown,middle,0.4494880901619653,-0.3936315496893247,0,2,0.3003345866441363,slowdown_middle,slowdown_early,0
1995-08-04,slowdown_middle,slowdown,slowdown,middle,0.46108436894270727,-0.22883878160377766,0,2,0.2962948149660228,slowdown_early,slowdown_early,0
1995-08-11,slowdown_middle,slowdown,slowdown,middle,0.47229751555684113,-0.14857229376070835,0,2,0.3009588101528057,slowdown_early,slowdown_early,0
1995-08-18,slowdown_middle,slowdown,slowdown,middle,0.4820175644805458,-0.02547009383510209,0,2,0.45338429390142526,slowdown_early,slowdown_early,0
1995-08-25,slowdown_early,slowdown,slowdown,early,0.4939714906537218,0.008634471137166911,0,2,0.441012685229202,slowdown_early,expansion_late,0
1995-09-01,slowdown_middle,slowdown,slowdown,middle,0.48120983615292784,-0.1454165065986595,0,2,0.45128037682144384,slowdown_early,expansion_late,0
1995-09-08,slowdown_early,slowdown,slowdown,early,0.47656117201776826,-0.033944181987380265,0,1,0.4542496382216879,slowdown_early,expansion_late,0
1995-09-15,slowdown_early,slowdown,expansion,early,0.5487339346286817,0.16064097141885741,0,0,0.39326746650715005,slowdown_early,expansion_late,0
1995-09-22,expansion_middle,expansion,expansion,middle,0.5373625619112229,0.5436923720570862,0,0,0.3879149585808825,expansion_late,expansion_late,0
1995-09-29,expansion_early,expansion,expansion,early,0.5610768298826249,0.5811419687273303,0,0,0.3652490012950749,expansion_late,expansion_middle,0
1995-10-06,expansion_middle,expansion,expansion,middle,0.5599588555044008,0.5144949762870447,0,0,0.36487559326988,expansion_late,expansion_late,0
1995-10-13,expansion_middle,expansion,expansion,middle,0.5515335760077644,0.3324015832507212,0,1,0.36898686714898365,expansion_late,expansion_late,0
1995-10-20,expansion_late,expansion,slowdown,late,0.4874350389127887,-0.12409085561489078,0,2,0.33971734701715295,expansion_late,slowdown_early,0
1995-10-27,slowdown_middle,slowdown,slowdown,middle,0.4811470759405584,-0.13721331211990626,0,2,0.33697214336597187,expansion_late,slowdown_early,0
1995-11-03,slowdown_middle,slowdown,slowdown,middle,0.4759367132018017,-0.10889564141550798,0,2,0.3282124045915364,slowdown_early,slowdown_early,0
1995-11-10,slowdown_middle,slowdown,slowdown,middle,0.462877661690702,-0.1590060565408451,0,2,0.32966796418816297,slowdown_early,slowdown_middle,0
1995-11-17,slowdown_middle,slowdown,slowdown,middle,0.4438512109511373,-0.5274319236217428,0,3,0.3343874089136233,slowdown_early,slowdown_middle,0
1995-11-24,slowdown_late,slowdown,slowdown,late,0.4426803292643724,-0.5135553304164323,0,3,0.33533397586780334,slowdown_middle,slowdown_middle,0
1995-12-01,slowdown_late,slowdown,slowdown,late,0.46129030175527763,-0.5177067943041118,0,3,0.32199254779842873,slowdown_middle,slowdown_middle,0
1995-12-08,slowdown_late,slowdown,slowdown,late,0.4569353450622236,-0.4809757026391891,0,3,0.32620507954540745,slowdown_middle,slowdown_middle,0
1995-12-15,slowdown_late,slowdown,slowdown,late,0.4679071545759082,-0.42764560245430666,0,3,0.33330110820042363,slowdown_middle,slowdown_early,0
1995-12-22,slowdown_middle,slowdown,slowdown,middle,0.4932778676923455,-0.054571035000272196,0,1,0.3213310966776438,slowdown_middle,slowdown_early,0
1995-12-29,slowdown_early,slowdown,slowdown,early,0.4729704920134699,-0.11222355923981712,0,1,0.3386736171897557,slowdown_early,slowdown_early,0
1996-01-05,slowdown_early,slowdown,slowdown,early,0.4813361060664228,-0.03681303313701543,0,1,0.3470648637662395,slowdown_early,slowdown_early,0
1996-01-12,slowdown_early,slowdown,slowdown,early,0.4646715764888363,-0.15280215153317334,0,1,0.35629038376331024,slowdown_early,slowdown_early,0
1996-01-19,slowdown_early,slowdown,slowdown,early,0.4295968875211349,-0.2438403077608235,0,2,0.3211156491417061,slowdown_early,slowdown_early,0
1996-01-26,slowdown_middle,slowdown,slowdown,middle,0.410001201985131,-0.29719599872567093,0,2,0.33130200748104915,slowdown_early,slowdown_early,0
1996-02-02,slowdown_middle,slowdown,slowdown,middle,0.37762025167739055,-0.5490045013849861,0,3,0.33268289522937494,slowdown_early,slowdown_middle,0
1996-02-09,slowdown_middle,slowdown,slowdown,middle,0.38784926801932584,-0.415025804504883,0,2,0.3118093539803791,slowdown_middle,slowdown_early,0
1996-02-16,slowdown_late,slowdown,slowdown,late,0.28166986738385,-0.9091236457254894,0,3,0.26459289817446946,slowdown_middle,slowdown_late,0
1996-02-23,slowdown_late,slowdown,slowdown,late,0.37461592192575144,-0.5364127908625701,0,2,0.4020421602690434,slowdown_middle,slowdown_middle,0
1996-03-01,slowdown_middle,slowdown,slowdown,middle,0.4481046802172405,-0.10930474272300458,0,1,0.35982894544730876,slowdown_middle,slowdown_early,0
1996-03-08,slowdown_early,slowdown,slowdown,early,0.4518701572900182,0.11807586146715102,0,1,0.35870650834534457,slowdown_middle,expansion_middle,0
1996-03-15,slowdown_early,slowdown,slowdown,early,0.4655972910446387,0.09421873833126024,0,1,0.36756514729394296,slowdown_middle,expansion_early,0
1996-03-22,expansion_middle,expansion,expansion,middle,0.463871118517846,0.41359311042738456,0,1,0.3278289473639317,slowdown_early,expansion_early,0
1996-03-29,expansion_middle,expansion,expansion,middle,0.44032839670191165,0.46707204083502685,0,1,0.31146026176359176,slowdown_early,expansion_early,0
1996-04-05,expansion_middle,expansion,expansion,middle,0.42769507793343225,0.4500134488914422,0,1,0.30332969991149084,slowdown_early,expansion_late,0
1996-04-12,expansion_middle,expansion,expansion,middle,0.42124585439372597,0.3552974381504595,0,1,0.3050733000915673,expansion_late,expansion_early,0
1996-04-19,expansion_middle,expansion,expansion,middle,0.4606884425073708,0.37617901640864065,0,0,0.35618509141450244,expansion_late,expansion_late,0
1996-04-26,expansion_middle,expansion,expansion,middle,0.48517088669812986,0.4376370342109589,0,0,0.37283276658569736,expansion_late,expansion_late,0
1996-05-03,expansion_late,expansion,expansion,late,0.4980986812383087,0.16320112478639612,0,0,0.3908402027688452,expansion_late,expansion_late,0
1996-05-10,expansion_late,expansion,expansion,late,0.5234306829833926,0.2436657878922078,0,0,0.3707519329950767,expansion_late,expansion_late,0
1996-05-17,expansion_late,expansion,expansion,late,0.5845883721123178,0.5001141761004921,0,0,0.3729364130657404,expansion_late,expansion_late,0
1996-05-24,expansion_middle,expansion,expansion,middle,0.5992779061841269,0.6542841846724023,0,0,0.36265468229482806,expansion_late,expansion_late,0
1996-05-31,expansion_early,expansion,expansion,early,0.6221739114566793,0.8346268503939201,0,0,0.3482534179144727,expansion_middle,expansion_late,0
1996-06-07,expansion_early,expansion,expansion,early,0.6204821997401717,0.8395657261059288,0,0,0.3481508431400527,expansion_middle,expansion_early,0
1996-06-14,expansion_early,expansion,expansion,early,0.6263937016716661,0.8834218711405872,0,0,0.3448652188175517,expansion_middle,expansion_early,0
1996-06-21,expansion_early,expansion,expansion,early,0.6773144764108874,0.8327480732315562,0,0,0.35340576615218333,expansion_middle,expansion_early,0
1996-06-28,expansion_early,expansion,expansion,early,0.6773071715012969,0.7184021760085416,0,0,0.35340957771254927,expansion_middle,expansion_early,0
1996-07-05,expansion_early,expansion,expansion,early,0.722368305587595,0.9602050049254272,0,0,0.33136398650165955,expansion_middle,expansion_early,0
1996-07-12,expansion_early,expansion,expansion,early,0.7262084106721005,0.8714448264168982,0,0,0.329611772521916,expansion_middle,expansion_early,0
1996-07-19,expansion_early,expansion,expansion,early,0.6451132933513083,0.33127765165387835,0,1,0.32489532504665225,expansion_late,expansion_late,0
1996-07-26,expansion_middle,expansion,expansion,middle,0.6540632889440264,0.3520522989718319,0,1,0.31857179619555925,expansion_late,expansion_late,0
1996-08-02,expansion_late,expansion,slowdown,late,0.614458474637569,0.017303106114413668,0,1,0.33712977982553555,expansion_late,slowdown_early,0
1996-08-09,expansion_late,expansion,slowdown,late,0.6205751153600462,-0.03017673585055596,0,1,0.33380689160620336,expansion_late,slowdown_early,0
1996-08-16,slowdown_early,slowdown,slowdown,early,0.6551541671321822,-0.005974920993436328,0,0,0.3161885563107524,expansion_late,slowdown_early,0
1996-08-23,slowdown_early,slowdown,slowdown,early,0.6579940917543474,-0.0940348945060913,0,1,0.3241769002651306,slowdown_early,slowdown_early,0
