case,as_of,dropped,phase,broad,x,y,radius,angle,sector,recall,fpr
drop_PAYEMS,2026-08-14,PAYEMS,slowdown_late,slowdown,0.0249,-0.161,0.1629,278.78,recovery_early,0.7603,0.0223
drop_W875RX1,2026-08-14,W875RX1,slowdown_late,slowdown,-0.0046,0.0528,0.053,95.0,slowdown_early,0.8595,0.0262
drop_INDPRO,2026-08-14,INDPRO,slowdown_late,slowdown,0.0212,-0.2739,0.2747,274.42,recovery_early,0.7769,0.0239
drop_CMRMTSPL,2026-08-14,CMRMTSPL,slowdown_late,slowdown,0.0076,-0.2466,0.2467,271.77,recovery_early,0.9008,0.03
drop_RRSFS,2026-08-14,RRSFS,slowdown_late,slowdown,0.0328,-0.1996,0.2022,279.32,recovery_early,0.8264,0.0229
drop_ICSA,2026-08-14,ICSA,slowdown_late,slowdown,-0.0214,-0.2611,0.262,265.32,contraction_late,0.8843,0.0242
drop_CCSA,2026-08-14,CCSA,slowdown_late,slowdown,0.0041,-0.2423,0.2423,270.96,recovery_early,0.8843,0.0334
drop_domain_employment,2026-08-14,PAYEMS,slowdown_late,slowdown,0.0249,-0.161,0.1629,278.78,recovery_early,0.7603,0.0223
drop_domain_income,2026-08-14,W875RX1,slowdown_late,slowdown,-0.0046,0.0528,0.053,95.0,slowdown_early,0.8595,0.0262
drop_domain_production,2026-08-14,INDPRO,slowdown_late,slowdown,0.0212,-0.2739,0.2747,274.42,recovery_early,0.7769,0.0239
drop_domain_consumption,2026-08-14,CMRMTSPL|RRSFS,slowdown_late,slowdown,0.0955,0.0457,0.1058,25.56,expansion_early,0.0,0.0
drop_domain_weekly_bridge,2026-07-17,CCSA|ICSA,slowdown_late,slowdown,-0.1916,-0.3393,0.3896,240.55,contraction_late,0.0,0.0
