,official_phase,raw_phase,activity_level,activity_momentum,negative_level_domains,negative_momentum_domains,concentration,candidate_h_phase,usrec
1995-01-06,expansion_late,expansion_late,0.8596130138502934,0.2659040906110773,0,0,0.35351526967982616,expansion_late,0
1995-01-13,expansion_middle,expansion_middle,0.8592893473721185,0.4040665446556316,0,0,0.35108392904818264,expansion_late,0
1995-01-20,expansion_early,expansion_early,0.8589659245397642,0.5025555637218662,0,0,0.33070205942789205,expansion_late,0
1995-01-27,expansion_early,expansion_early,0.8586427450782207,0.5060943772496521,0,0,0.3326195768163192,expansion_late,0
1995-02-03,expansion_middle,expansion_middle,0.8921161759997006,0.4460575797828396,0,0,0.32979047217983676,expansion_late,0
1995-02-10,expansion_late,expansion_late,0.7793670375823251,0.2217011137791739,0,0,0.34039132686824364,expansion_late,0
1995-02-17,slowdown_early,slowdown_early,0.767345990409291,-0.022833352895580174,0,1,0.318541866625981,slowdown_early,0
1995-02-24,slowdown_early,slowdown_early,0.7556901384620127,-0.022833352895580174,0,1,0.3234803996097454,slowdown_early,0
1995-03-03,slowdown_early,slowdown_early,0.7370359003582964,-0.022143571975471194,0,1,0.3318619947089109,slowdown_early,0
1995-03-10,slowdown_early,slowdown_early,0.6994713239726076,-0.607458436128896,0,2,0.3353890221318282,slowdown_early,0
1995-03-17,slowdown_early,slowdown_early,0.6994713239726076,-0.607458436128896,0,2,0.31768156247309765,slowdown_early,0
1995-03-24,slowdown_early,slowdown_early,0.6994713239726076,-0.6302836917724213,0,3,0.34151172818938164,slowdown_middle,0
1995-03-31,slowdown_early,slowdown_early,0.6994713239726076,-0.607170657596582,0,3,0.341019469834548,slowdown_middle,0
1995-04-07,slowdown_early,slowdown_early,0.6994713239726076,-0.6515917627394803,0,2,0.3397015685775755,slowdown_middle,0
1995-04-14,slowdown_early,slowdown_early,0.6573390856367537,-0.5681958258953563,0,3,0.34241579109026826,slowdown_middle,0
1995-04-21,slowdown_middle,slowdown_middle,0.6573390856367537,-0.7040826273040317,0,3,0.31509515340190775,slowdown_middle,0
1995-04-28,slowdown_middle,slowdown_middle,0.6573390856367537,-0.6956104855902551,0,3,0.31943301381632916,slowdown_middle,0
1995-05-05,slowdown_early,slowdown_early,0.6573390856367537,-0.6028391723181957,0,3,0.33143543813068943,slowdown_middle,0
1995-05-12,slowdown_middle,slowdown_middle,0.5535766767927365,-1.14917753860991,0,3,0.3505319704414728,slowdown_middle,0
1995-05-19,slowdown_middle,slowdown_middle,0.5366035975901697,-0.920947453315323,0,3,0.39793665105395726,slowdown_middle,0
1995-05-26,slowdown_late,slowdown_late,0.5366035975901697,-1.2679482204262946,0,3,0.40767961187049445,slowdown_late,0
1995-06-02,slowdown_late,slowdown_late,0.41214832278198194,-1.4264313835080469,0,4,0.4379517345671734,slowdown_late,0
1995-06-09,slowdown_late,slowdown_late,0.41214832278198194,-1.2588283770387592,0,4,0.43701764073012556,slowdown_late,0
1995-06-16,slowdown_middle,slowdown_middle,0.5069758030644846,-0.7116555153503321,0,3,0.41704625481535146,slowdown_late,0
1995-06-23,slowdown_middle,slowdown_middle,0.511477598912688,-0.6867548677701777,0,3,0.41248621758162296,slowdown_late,0
1995-06-30,slowdown_middle,slowdown_middle,0.5121037066930847,-0.6668603874298137,0,2,0.39830279220973797,slowdown_late,0
1995-07-07,slowdown_early,slowdown_early,0.5127313492089555,-0.06167588801502703,0,1,0.3983761937225946,slowdown_middle,0
1995-07-14,slowdown_early,slowdown_early,0.5136990728277095,-0.1129480904364017,0,1,0.4062303642045951,slowdown_middle,0
1995-07-21,slowdown_early,slowdown_early,0.5255199772738234,-0.2942477154377418,0,2,0.30925148703039257,slowdown_middle,0
1995-07-28,slowdown_early,slowdown_middle,0.5245431813852272,-0.5158864160954535,0,2,0.3003345866441363,slowdown_middle,0
1995-08-04,slowdown_early,slowdown_early,0.5720258123612275,-0.4518065406942721,0,2,0.2962948149660228,slowdown_early,0
1995-08-11,slowdown_early,slowdown_early,0.5720258123612275,-0.16267154205577822,0,2,0.3009588101528057,slowdown_early,0
1995-08-18,slowdown_early,slowdown_early,0.4436511640451463,0.2827021197763305,0,2,0.45338429390142526,slowdown_early,0
1995-08-25,expansion_late,expansion_late,0.43675116746368303,0.18443817320682662,0,2,0.441012685229202,slowdown_early,0
1995-09-01,expansion_late,expansion_late,0.43675116746368303,0.03066771687499177,0,2,0.45128037682144384,slowdown_early,0
1995-09-08,expansion_late,expansion_late,0.43132400927938014,0.04918297111840234,0,1,0.4542496382216879,slowdown_early,0
1995-09-15,expansion_late,expansion_late,0.5316132743275386,0.11143287878900714,0,0,0.39326746650715005,slowdown_early,0
1995-09-22,expansion_late,expansion_late,0.5300385141766281,0.11143287878900714,0,0,0.3879149585808825,expansion_late,0
1995-09-29,expansion_middle,expansion_middle,0.6646070073982953,0.37704943457964946,0,0,0.3652490012950749,expansion_late,0
1995-10-06,expansion_late,expansion_late,0.6615088312276103,0.19705914487370046,0,0,0.36487559326988,expansion_late,0
