phase,episode,start,end,months,block_only,block_only_months_removed,event_including,event_including_months_removed
recovery,1,2002-07,2002-08,2,0.030736,2,0.031275,5
recovery,2,2003-06,2004-01,8,0.028003,8,0.027949,11
recovery,3,2009-06,2010-07,14,0.032436,14,0.031902,17
recovery,4,2020-07,2021-02,8,0.034644,8,0.034695,11
expansion,1,1994-07,1995-03,9,0.028313,9,0.048122,12
expansion,2,1995-07,1998-07,37,0.030816,37,0.035261,40
expansion,3,1998-09,2000-06,22,0.031078,22,0.010097,25
expansion,4,2002-02,2002-06,5,0.028646,5,0.03152,8
expansion,5,2002-09,2003-02,6,0.028316,6,0.028081,9
expansion,6,2003-05,2003-05,1,0.028091,1,0.028287,4
expansion,7,2004-02,2005-09,20,0.027553,20,0.029425,23
expansion,8,2005-11,2007-08,22,0.030212,22,0.035061,25
expansion,9,2007-10,2007-12,3,0.02853,3,0.028163,6
expansion,10,2010-08,2018-11,100,0.027266,100,0.032776,103
expansion,11,2019-04,2019-06,3,0.028447,3,0.028677,6
expansion,12,2019-08,2019-10,3,0.028178,3,0.027695,6
expansion,13,2021-03,2022-06,16,0.033969,16,0.031311,19
expansion,14,2022-08,2022-12,5,0.030202,5,0.031332,8
expansion,15,2023-02,2025-11,34,0.024669,34,0.019607,37
expansion,16,2026-01,2026-06,6,0.028405,6,0.028405,6
slowdown,1,1995-04,1995-06,3,0.048041,3,0.048645,6
slowdown,2,1998-08,1998-08,1,0.032288,1,0.032862,4
slowdown,3,2000-07,2000-12,6,0.001802,6,0.003864,9
slowdown,4,2005-10,2005-10,1,0.030227,1,0.030212,4
slowdown,5,2007-09,2007-09,1,0.032938,1,0.033179,4
slowdown,6,2018-12,2019-03,4,0.035439,4,0.035575,7
slowdown,7,2019-07,2019-07,1,0.028601,1,0.028482,4
slowdown,8,2022-07,2022-07,1,0.023171,1,0.025618,4
slowdown,9,2023-01,2023-01,1,0.031108,1,0.028751,4
slowdown,10,2025-12,2025-12,1,0.02274,1,0.022842,4
contraction,1,2001-01,2002-01,13,0.042731,13,0.042691,16
contraction,2,2003-03,2003-04,2,0.028278,2,0.028444,5
contraction,3,2008-01,2009-05,17,0.031828,17,0.031727,20
contraction,4,2019-11,2020-06,8,0.029357,8,0.029218,11
