,official_phase,raw_phase,activity_level,activity_momentum,negative_level_domains,negative_momentum_domains,concentration,contraction_evidence,recovery_evidence,usrec
1994-07-15,expansion,expansion,0.6808028626250542,0.21440987689716534,0,1,0.3924398404399361,0.0,0.0,0
1994-07-22,expansion,expansion,0.6890205631406945,0.38812745556924144,0,0,0.3587024899108627,0.0,0.0,0
1994-07-29,expansion,expansion,0.6904762459286522,0.40283465692048936,0,1,0.3579106718062254,0.0,0.0,0
1994-08-05,expansion,expansion,0.6826439895830269,0.36715646603540064,0,1,0.3619811368033004,0.0,0.0,0
1994-08-12,expansion,expansion,0.6845239789161208,0.3104841066239129,0,1,0.3599702724600757,0.0,0.0,0
1994-08-19,expansion,expansion,0.6663842603665943,0.1492686012270471,0,1,0.4086924552529025,0.0,0.0,0
1994-08-26,expansion,expansion,0.6714432939894885,0.15597137463711708,0,1,0.40561313509131036,0.0,0.0,0
1994-09-02,expansion,expansion,0.6536114169093474,0.19496764467132865,0,0,0.4166791039222099,0.0,0.0,0
1994-09-09,expansion,expansion,0.6599209839926381,0.14381847785063415,0,0,0.4062600923089,0.0,0.0,0
1994-09-16,expansion,expansion,0.759165920619691,0.4767966485075572,0,0,0.34772807229983443,0.0,0.0,0
1994-09-23,expansion,expansion,0.7548226715893572,0.570066465824296,0,0,0.34259563449340563,0.0,0.0,0
1994-09-30,expansion,expansion,0.8142332217109333,0.6743696984938776,0,0,0.3175981343033071,0.0,0.0,0
1994-10-07,expansion,expansion,0.8162237560646582,0.6900630978863941,0,0,0.3168236040445239,0.0,0.0,0
1994-10-14,expansion,expansion,0.8010279616531607,0.5491656899284225,0,0,0.3228338640881738,0.0,0.0,0
1994-10-21,expansion,expansion,0.7759787043956495,0.5378356115596432,0,0,0.3771633488064855,0.0,0.0,0
1994-10-28,expansion,expansion,0.7739060647369216,0.5439249211642811,0,0,0.378173450355206,0.0,0.0,0
1994-11-04,expansion,expansion,0.8921392778019627,0.8175235664093812,0,0,0.3280549730681718,0.0,0.0,0
1994-11-11,expansion,expansion,0.9145377279327352,0.8979700752010021,0,0,0.3200203969867355,0.0,0.0,0
1994-11-18,expansion,expansion,0.9516933667591501,0.7247874076624561,0,1,0.32769116655794983,0.0,0.0,0
1994-11-25,expansion,expansion,0.9540802301685911,0.7170777466609287,0,1,0.32512378193244856,0.0,0.0,0
1994-12-02,expansion,expansion,0.8789886440779819,0.4606926075655219,0,1,0.34857166246855353,0.0,0.0,0
1994-12-09,expansion,expansion,0.8700242342190283,0.5557864117365195,0,1,0.34789725705376157,0.0,0.0,0
1994-12-16,expansion,expansion,0.8932598223189991,0.8249011324749468,0,0,0.33884770935886466,0.0,0.0,0
1994-12-23,expansion,expansion,0.9379145081803925,0.8915782587462109,0,0,0.36877998557233194,0.0,0.0,0
1994-12-30,expansion,expansion,0.9711607745763466,0.7503597717715572,0,0,0.35439846299280986,0.0,0.0,0
1995-01-06,expansion,expansion,0.9688080056986689,0.7095533982691801,0,0,0.35351526967982616,0.0,0.0,0
1995-01-13,expansion,expansion,0.9692865432493895,0.5849239777159863,0,0,0.35108392904818264,0.0,0.0,0
1995-01-20,expansion,expansion,0.9460707096196914,0.23312309603020182,0,0,0.33070205942789205,0.04040992228937642,0.0,0
1995-01-27,expansion,expansion,0.9406167100273007,0.2026931362391,0,0,0.3326195768163192,0.06565663293424363,0.0,0
1995-02-03,expansion,expansion,0.9486857821199596,0.3467622781427375,0,0,0.32979047217983676,0.06218087950629119,0.0,0
1995-02-10,expansion,expansion,0.9191407281559257,0.25169459634071734,0,0,0.34039132686824364,0.0497478833874989,0.0,0
1995-02-17,expansion,slowdown,0.8467209761574411,-0.36305920004880354,0,1,0.318541866625981,0.051103739038722,0.0,0
1995-02-24,slowdown,slowdown,0.8337941976761376,-0.41442108681986783,0,1,0.3234803996097454,0.09079503701901304,0.0,0
1995-03-03,slowdown,slowdown,0.8127356689130447,-0.5499375828098373,0,1,0.3318619947089109,0.12272896743819646,0.0,0
1995-03-10,slowdown,slowdown,0.7959567561482952,-0.6692054794703025,0,2,0.3353890221318282,0.1321342411993019,0.0,0
1995-03-17,slowdown,slowdown,0.7736956041541374,-0.5944417811574328,0,2,0.31768156247309765,0.10815195891182856,0.0,0
1995-03-24,slowdown,slowdown,0.7197083090216864,-0.8348667081073724,0,3,0.34151172818938164,0.0973110532302642,0.0,0
1995-03-31,slowdown,slowdown,0.7207472011070297,-0.8500614584848696,0,3,0.341019469834548,0.09374257489525736,0.0,0
1995-04-07,slowdown,slowdown,0.7216608600425435,-0.8575576385661925,0,3,0.3397015685775755,0.10060085884506412,0.0,0
1995-04-14,slowdown,slowdown,0.71408255505585,-0.8613201481788177,0,3,0.34241579109026826,0.08772515453070191,0.0,0
1995-04-21,slowdown,slowdown,0.6478266348706316,-0.9011586344156429,0,3,0.31509515340190775,0.0730912915132547,0.0,0
1995-04-28,slowdown,slowdown,0.6390292301151264,-0.8903384276896682,0,3,0.31943301381632916,0.06513192529126265,0.0,0
1995-05-05,slowdown,slowdown,0.6158877700094136,-0.9440323064858076,0,3,0.33143543813068943,0.0930738262032107,0.0,0
1995-05-12,slowdown,slowdown,0.5823349939673641,-1.181360733144577,0,3,0.3505319704414728,0.1250230337567349,0.0,0
1995-05-19,slowdown,slowdown,0.5302214151332958,-1.035361992895853,0,3,0.39793665105395726,0.13611360776256717,0.0,0
1995-05-26,slowdown,slowdown,0.5149955786680849,-1.0958098253547957,0,3,0.40767961187049445,0.1957616520651991,0.0,0
1995-06-02,slowdown,slowdown,0.47811653327007814,-1.2218606861042551,0,4,0.4379517345671734,0.21922636560848452,0.0,0
1995-06-09,slowdown,slowdown,0.4764133322096689,-1.143896019779885,0,4,0.43701764073012556,0.21990611615782063,0.0,0
1995-06-16,slowdown,slowdown,0.491400971112952,-0.9909034579458884,0,4,0.41704625481535146,0.2081397978819294,0.0,0
1995-06-23,slowdown,slowdown,0.482151294330725,-0.7718615191192271,0,3,0.41248621758162296,0.21322917119900178,0.0,0
1995-06-30,slowdown,slowdown,0.5116922742946908,-0.5390457668537824,0,2,0.39830279220973797,0.132579310246083,0.0,0
1995-07-07,slowdown,slowdown,0.5124568445011158,-0.4867166280473012,0,2,0.3983761937225946,0.09246539972845627,0.0,0
1995-07-14,slowdown,slowdown,0.49828058627650085,-0.3558763025801367,0,2,0.4062303642045951,0.07485489514590078,0.0,0
