as_of,future_observations,last_modelled_week,raw_phase,official_phase,phase_status,activity_level,activity_momentum,negative_level_domains,negative_momentum_domains,positive_momentum_domains,confirming_domains,concentration,dominant_domain,labor_stress_level,labor_stress_momentum,recession_alert,recession_alert_character,evidence_quality_high,phase_separation,confirmation_pending,filtered_winner,contraction_evidence,alert_evidence,information_lag_weeks,weeks_since_any_new_observation,fresh_coincident_domains,stale_domains,carried_forward_domains,withheld,raw_recovery,filtered_recovery,raw_expansion,filtered_expansion,raw_slowdown,filtered_slowdown,raw_contraction,filtered_contraction,age_production,arrived_production,age_employment,arrived_employment,age_real_income,arrived_real_income,age_consumption,arrived_consumption,age_labor_stress,arrived_labor_stress,latest_observation_PAYEMS,latest_observation_W875RX1,latest_observation_INDPRO,latest_observation_CMRMTSPL,latest_observation_RRSFS,latest_observation_ICSA,latest_observation_CCSA
2019-07-05,0,2019-07-05,slowdown,slowdown,official,0.1665497043607096,-0.6715181353959098,0,3,0,3,0.252666209854037,employment,-0.3518501716529994,-1.31900037023327,watch,preliminary,True,0.9415107496829173,0,slowdown,0.42849370193788117,0.4227103151149305,0,0,4,,4,0,0.08386633885406661,0.004335601634958028,0.11678528288318915,0.027076734325820667,0.7993475250825307,0.968587484008738,8.531802136413624e-07,1.8003048337581326e-07,7.0,0,3.0,0,5.0,0,7.0,0,0.0,1,2019-06-01,2019-05-01,2019-05-01,2019-04-01,2019-05-01,2019-06-29,2019-06-22
2019-07-12,0,2019-07-12,slowdown,slowdown,official,0.17345059961081,-0.5320132782050012,0,3,0,3,0.26011435304204794,employment,-0.3245114625617338,-0.46298137882999846,none,absent,True,0.9158384082552284,0,slowdown,0.3442456913300733,0.3108347747405005,0,0,4,,4,0,0.10904331609603729,0.006249596618602472,0.15394223038270352,0.03895589993263352,0.7370135888919667,0.9547943081878619,8.646292925129993e-07,1.9526090197147225e-07,8.0,0,4.0,0,6.0,0,8.0,0,0.0,1,2019-06-01,2019-05-01,2019-05-01,2019-04-01,2019-05-01,2019-07-06,2019-06-29
2019-07-19,0,2019-07-19,slowdown,slowdown,official,0.16324420343540208,-0.47151815519621093,0,2,0,2,0.2545462168169935,employment,-0.37911509658970993,-1.0353643852254144,none,absent,True,0.8699452331818268,0,slowdown,0.3902198036121062,0.3433696001865303,0,0,4,,4,0,0.12973017445349608,0.01074077648603443,0.17946817106555749,0.05965688734287216,0.6908007445863013,0.9296021205246989,9.098946451593155e-07,2.156463942983844e-07,4.0,0,5.0,0,7.0,0,4.0,0,0.0,1,2019-06-01,2019-05-01,2019-06-01,2019-04-01,2019-06-01,2019-07-13,2019-07-06
2019-07-26,0,2019-07-26,slowdown,slowdown,official,0.24627935921190974,-0.3505560478913036,0,2,0,2,0.32546016072286826,employment,0.03133643521110949,-0.43462120337267457,none,absent,False,0.8354517091155328,0,slowdown,0.2559025757643875,0.20176095831967217,0,0,4,,4,0,0.13814830885260068,0.011653827230056684,0.22541627464160893,0.07644711627309354,0.6364344995199029,0.9118988253886263,9.169858874245599e-07,2.311082234577467e-07,5.0,0,6.0,0,8.0,0,5.0,0,0.0,1,2019-06-01,2019-05-01,2019-06-01,2019-04-01,2019-06-01,2019-07-20,2019-07-13
2019-08-02,0,2019-08-02,slowdown,slowdown,official,0.36193854565117356,-0.3542169275834981,0,2,0,2,0.387455732097518,real_income,0.09055669636204698,-0.5123244892642242,none,absent,False,0.8106557417764093,0,slowdown,0.19953315671216318,0.17009538078086828,0,0,4,,4,0,0.11037441971627683,0.009632833400184636,0.2436563414932556,0.08985560221319397,0.645968340047386,0.9005113439896033,8.987430816116733e-07,2.2039701805352782e-07,6.0,0,3.0,0,4.0,0,6.0,0,0.0,1,2019-07-01,2019-06-01,2019-06-01,2019-05-01,2019-06-01,2019-07-27,2019-07-20
2019-08-09,0,2019-08-09,slowdown,slowdown,official,0.35311881436866105,-0.25556751251993853,0,2,0,2,0.4014073848569628,real_income,0.03790276050687032,-0.021056926317319678,none,absent,False,0.7617678280492414,0,slowdown,0.09094954084830528,0.050747710449904754,0,0,4,,4,0,0.13096563843999603,0.012288972849352665,0.28408716902994036,0.11297148066763422,0.5849462886483445,0.8747393087168756,9.038817190720703e-07,2.3776613755565338e-07,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2019-07-01,2019-06-01,2019-06-01,2019-05-01,2019-06-01,2019-08-03,2019-07-27
2019-08-16,0,2019-08-16,slowdown,slowdown,official,0.2771243148162233,-0.24928671829886834,0,2,0,2,0.3932177941049742,real_income,-0.20837236097890244,-0.32980540369747957,none,absent,False,0.7083817152956482,0,slowdown,0.2000801906970837,0.13863855790326027,0,0,4,,4,0,0.15051569861514696,0.018281245543716365,0.2807125022347093,0.13666839990399313,0.568770892923151,0.8450501151996413,9.062269928212567e-07,2.393526492206594e-07,4.0,0,5.0,0,6.0,0,4.0,0,0.0,1,2019-07-01,2019-06-01,2019-07-01,2019-05-01,2019-07-01,2019-08-10,2019-08-03
2019-08-23,0,2019-08-23,slowdown,slowdown,official,0.25261100261217356,-0.17160862735223312,0,2,0,2,0.3675298641246314,real_income,-0.33264244029223566,0.05729564016351015,none,absent,False,0.6569670228932101,0,slowdown,0.1509042221225893,0.07105625412926073,0,0,4,,4,0,0.17464639145295371,0.023018296657091333,0.3102234126058197,0.16000721157272862,0.515129284776408,0.8169742344659388,9.111648186572661e-07,2.5730424130618445e-07,5.0,0,6.0,0,7.0,0,5.0,0,0.0,1,2019-07-01,2019-06-01,2019-07-01,2019-05-01,2019-07-01,2019-08-17,2019-08-10
2019-08-30,0,2019-08-30,slowdown,slowdown,official,0.21881994079749262,-0.17929903016751897,0,3,1,3,0.27208229696591596,real_income,-0.3983729067763557,0.17705600149086312,none,absent,False,0.7132071910980751,0,slowdown,0.17379060903246407,0.08448578968517083,0,0,4,,4,0,0.19140871308648885,0.02459609759665799,0.2750959766273317,0.13109823029403397,0.5334944216299357,0.8443054213921091,8.886562437621239e-07,2.507171989788116e-07,6.0,0,7.0,0,4.0,0,6.0,0,0.0,1,2019-07-01,2019-07-01,2019-07-01,2019-06-01,2019-07-01,2019-08-24,2019-08-17
2019-09-06,0,2019-09-06,slowdown,slowdown,official,0.17734449800483482,-0.403340130830592,0,3,1,3,0.2844072007487345,labor_stress,-0.5848763551114814,-0.6616236118041332,none,absent,True,0.8314882703337461,0,slowdown,0.3586271461182746,0.3003215647324779,0,0,4,,4,0,0.14534469824776003,0.015547418718276912,0.19235854331488716,0.07648204955316784,0.6622958902247327,0.9079703198869139,8.682126200838238e-07,2.1184164128277686e-07,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2019-08-01,2019-07-01,2019-07-01,2019-06-01,2019-07-01,2019-08-31,2019-08-24
2019-09-13,0,2019-09-13,slowdown,slowdown,official,0.26160200005387785,-0.10563292719953474,0,3,1,3,0.2980694190077689,real_income,-0.23201915082590824,0.3681993030590607,none,absent,False,0.6792664634975426,0,slowdown,0.13075752563558346,0.04416481815426853,0,0,4,,4,0,0.1969476977443745,0.026153593664693713,0.30818524202756664,0.14728983808212495,0.4948661648632766,0.8265563015796675,8.953647822002338e-07,2.66673513793409e-07,8.0,0,5.0,0,6.0,0,3.0,0,0.0,1,2019-08-01,2019-07-01,2019-07-01,2019-06-01,2019-08-01,2019-09-07,2019-08-31
