as_of,last_modelled_week,information_lag_weeks,alfred_raw,latest_raw,alfred_official,latest_official,alfred_status,alfred_alert,latest_alert,level_difference,momentum_difference,breadth_difference,concentration_difference,usrec,raw_recovery_difference,raw_expansion_difference,raw_slowdown_difference,raw_contraction_difference,raw_agrees,official_agrees,alert_agrees,disagreement_cause
2019-07-05,2019-07-05,0,slowdown,slowdown,slowdown,slowdown,official,watch,watch,0.0941932542439831,-0.06142491183780918,0,-0.13510119267485388,0,-0.03386510059300006,-0.019160465216817857,0.0530256152823656,-4.947254764498537e-08,True,True,True,
2019-07-12,2019-07-12,0,slowdown,slowdown,slowdown,slowdown,official,none,none,0.08790482342686257,-0.11049707290784228,0,-0.16238426308061382,0,-0.05226015607124945,-0.03726515697123442,0.08952536395728994,-5.0914806081857304e-08,True,True,True,
2019-07-19,2019-07-19,0,slowdown,slowdown,slowdown,slowdown,official,none,watch,0.11235647002794537,0.19808891708087623,0,-0.09689920671929686,0,0.019108055200482768,0.06560837222022681,-0.0847164874759675,6.005525785503452e-08,True,True,False,
2019-07-26,2019-07-26,0,slowdown,slowdown,slowdown,slowdown,official,none,none,0.0957847346726102,0.09566904228953516,0,-0.03210394582162196,0,-0.0031693327660815007,0.048109121501072716,-0.044939840731503033,5.199651178519344e-08,True,True,True,
2019-08-02,2019-08-02,0,slowdown,slowdown,slowdown,slowdown,official,none,none,0.17457367237524285,-0.03154771472704565,0,0.06790900631777746,0,-0.05274381401111637,0.02343141560777398,0.029312375015703163,2.3387639371096686e-08,True,True,True,
2019-08-09,2019-08-09,0,slowdown,slowdown,slowdown,slowdown,official,none,none,0.1419348046002444,-0.12290447957294734,0,0.0406720045761188,0,-0.07515202910147273,-0.007685646889623532,0.08283766550414862,1.0486947675859261e-08,True,True,True,
2019-08-16,2019-08-16,0,slowdown,slowdown,slowdown,slowdown,official,none,none,0.09413057849270459,0.017273739732301452,0,0.06199798982344812,0,-0.01817173037377179,0.038006191500847386,-0.01983447546615036,1.4339074821495417e-08,True,True,True,
2019-08-23,2019-08-23,0,slowdown,expansion,slowdown,slowdown,official,none,none,0.03174452426572941,-0.3571562757741241,0,0.06729223504130188,0,-0.0784432571987905,-0.12532184325611678,0.2037651310190139,-3.056410655852632e-08,False,True,True,
2019-08-30,2019-08-30,0,slowdown,expansion,slowdown,slowdown,official,none,none,0.013571915837325532,-0.45454940822392925,0,-0.11904162083781639,0,-0.058591054355587924,-0.22691290906182487,0.2855040049928619,-4.157544904560366e-08,False,True,True,
2019-09-06,2019-09-06,0,slowdown,expansion,slowdown,slowdown,official,none,none,0.00012840019468865482,-0.5641448189920119,0,-0.1568427192272217,0,-0.10465506919431677,-0.25881704634378777,0.36347217755717715,-6.201907272390383e-08,False,True,True,
2019-09-13,2019-09-13,0,slowdown,expansion,slowdown,expansion,official,none,none,0.05586130349676455,-0.40718538795952364,0,-0.0979798710368806,0,-0.05725410913548226,-0.21350302673718385,0.2707571863750722,-5.050240618993086e-08,False,False,True,data_revision
2019-09-20,2019-09-20,0,slowdown,slowdown,slowdown,expansion,official,none,none,0.18817382545154557,0.1782553217256465,0,-0.05797098817202789,0,0.005540254315845955,0.05705089873628022,-0.06259112133877026,-3.1713355972463285e-08,True,False,True,filter_path_dependence
2019-09-27,2019-09-27,0,slowdown,slowdown,slowdown,expansion,official,none,none,0.1769996470949146,0.26042487200925235,0,-0.01813098377449046,0,0.031268540856507404,0.08549938445855554,-0.11676789483571637,-3.047934641602214e-08,True,False,True,filter_path_dependence
2019-10-04,2019-10-04,0,slowdown,slowdown,slowdown,expansion,official,none,none,0.16027208791248912,0.21761277331249432,0,-0.01536386352626612,0,0.02554318508097342,0.06767332267493287,-0.09321647612172557,-3.163418084082795e-08,True,False,True,filter_path_dependence
2019-10-11,2019-10-11,0,slowdown,slowdown,slowdown,slowdown,official,none,none,0.1465906987040413,0.3493550009831174,0,-0.07011047106863988,0,0.07294060902943755,0.11908485776849942,-0.19202547639817535,9.600238359643833e-09,True,True,True,
2019-10-18,2019-10-18,0,slowdown,slowdown,slowdown,slowdown,official,watch,elevated,0.23683303008739726,1.0422650339794854,-1,-0.07154473140643547,0,0.09874810454364223,0.13697259818429203,-0.2357207470660937,4.433815948295275e-08,True,True,False,
2019-10-25,2019-10-25,0,slowdown,slowdown,slowdown,slowdown,official,watch,elevated,0.22927260867490185,0.9486441811601725,-1,-0.004781894981133961,0,0.09038450667060914,0.11928902627923632,-0.20967357260557928,3.965573386458681e-08,True,True,False,
2019-11-01,2019-11-01,0,slowdown,slowdown,slowdown,slowdown,official,none,elevated,0.27182277050337667,1.403531016122181,-1,0.032901045931918116,0,0.18664325603601484,0.25673567256289276,-0.4433790524257789,1.2382687118003775e-07,True,True,False,
2019-11-08,2019-11-08,0,slowdown,slowdown,slowdown,slowdown,official,watch,high,0.29517123953493296,1.3321074050509765,-1,0.09574070016325742,0,0.13310519271422505,0.1741083658343725,-0.2945885503761524,-0.012625008172445325,True,True,False,
