as_of,future_observations,last_modelled_week,raw_phase,official_phase,phase_status,activity_level,activity_momentum,negative_level_domains,negative_momentum_domains,positive_momentum_domains,confirming_domains,concentration,dominant_domain,labor_stress_level,labor_stress_momentum,recession_alert,recession_alert_character,evidence_quality_high,phase_separation,confirmation_pending,filtered_winner,contraction_evidence,alert_evidence,information_lag_weeks,weeks_since_any_new_observation,fresh_coincident_domains,stale_domains,carried_forward_domains,withheld,raw_recovery,filtered_recovery,raw_expansion,filtered_expansion,raw_slowdown,filtered_slowdown,raw_contraction,filtered_contraction,age_production,arrived_production,age_employment,arrived_employment,age_real_income,arrived_real_income,age_consumption,arrived_consumption,age_labor_stress,arrived_labor_stress,latest_observation_PAYEMS,latest_observation_W875RX1,latest_observation_INDPRO,latest_observation_CMRMTSPL,latest_observation_RRSFS,latest_observation_ICSA,latest_observation_CCSA
2013-06-14,0,2013-06-14,expansion,slowdown,official,0.4794870609339569,0.05604758395821273,0,1,1,1,0.4297468575430143,labor_stress,1.0302902883445189,0.5893129476524519,none,absent,False,0.0019083447218758987,1,expansion,0.0,0.0,0,0,4,,4,0,0.17119555909168976,0.048121006430709816,0.44410504300185377,0.4768935597057054,0.38469846767476373,0.4749852149838295,9.302316928077276e-07,2.1887975531906402e-07,4.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2013-05-01,2013-04-01,2013-05-01,2013-02-01,2013-04-01,2013-06-08,2013-06-01
2013-06-21,0,2013-06-21,expansion,expansion,official,0.47063991382074616,0.026282732038699946,0,1,1,1,0.41287609891134397,labor_stress,0.971579858051404,0.2453543496273584,none,absent,False,0.12363102508529689,0,expansion,0.0,0.0,0,0,4,,4,0,0.16858192325622567,0.05526213292286632,0.4297001568129991,0.5341843516212662,0.4017169896990825,0.4105533265359693,9.302316928077276e-07,1.8891989812686534e-07,5.0,0,6.0,0,7.0,0,5.0,0,0.0,1,2013-05-01,2013-04-01,2013-05-01,2013-02-01,2013-05-01,2013-06-15,2013-06-08
2013-06-28,0,2013-06-28,slowdown,expansion,official,0.4909981912511392,-0.047772391602932854,0,1,1,1,0.4052048942031344,labor_stress,0.994774350699241,-0.25838206817560744,none,absent,False,0.09243047913342006,0,expansion,0.0,0.05605965056669857,0,0,4,,4,0,0.15028609585417382,0.051590604223876256,0.39888786146313965,0.5204198481881283,0.4508251124509936,0.4279893690547082,9.302316928077275e-07,1.7853328729059388e-07,6.0,0,7.0,0,4.0,0,6.0,0,0.0,1,2013-05-01,2013-05-01,2013-05-01,2013-04-01,2013-05-01,2013-06-22,2013-06-15
2013-07-05,0,2013-07-05,slowdown,expansion,official,0.4948738779197873,-0.06763880782022957,0,1,1,1,0.39931829639412586,labor_stress,0.9880609693044204,-0.4945382138015844,none,absent,False,0.053572958004278415,0,expansion,0.0,0.10663591521004008,0,0,4,,4,0,0.1458669433211129,0.049199524773155735,0.39015322507669564,0.5021866262469799,0.46397890137049874,0.44861366824270144,9.302316928077276e-07,1.8073716296441987e-07,7.0,0,3.0,0,5.0,0,7.0,0,0.0,1,2013-06-01,2013-05-01,2013-05-01,2013-04-01,2013-05-01,2013-06-29,2013-06-22
2013-07-12,0,2013-07-12,slowdown,expansion,official,0.4788826027765921,-0.10873138390970531,0,1,1,1,0.37790910664193805,labor_stress,0.90487048300834,-0.7030829656567966,none,absent,False,0.09402285231680618,1,slowdown,0.0,0.15316525174657916,0,0,4,,4,0,0.14256306767333876,0.04328526327695106,0.3693842278512112,0.4313458445454098,0.4880517742437571,0.525368696862216,9.302316928077275e-07,1.9531542326898005e-07,8.0,0,4.0,0,6.0,0,8.0,0,0.0,1,2013-06-01,2013-05-01,2013-05-01,2013-04-01,2013-05-01,2013-07-06,2013-06-29
2013-07-19,0,2013-07-19,expansion,expansion,official,0.48096241749421625,0.040538387436235654,0,0,1,0,0.3796917123898032,labor_stress,0.913087219467592,-0.6860181973502951,none,absent,False,0.3455066234715264,0,expansion,0.0,0.1470038994322061,0,0,4,,4,0,0.17291339876804143,0.06581966293820757,0.4498789707691172,0.6398434005145505,0.3772066739144283,0.2943367770430241,9.565484130187618e-07,1.5950421793740587e-07,4.0,0,5.0,0,7.0,0,4.0,0,0.0,1,2013-06-01,2013-05-01,2013-06-01,2013-04-01,2013-06-01,2013-07-13,2013-07-06
2013-07-26,0,2013-07-26,expansion,expansion,official,0.48033919948488873,0.09740576606388622,0,0,1,0,0.3766503493991443,labor_stress,0.9045996365804432,-0.4019216236610853,none,absent,False,0.3768376877450052,0,expansion,0.0,0.0861260622130897,0,0,4,,4,0,0.18241815553631038,0.06740593597881175,0.4740203799034475,0.6547157944682789,0.34356051035923363,0.2778781067232737,9.542010084427293e-07,1.6282963563842608e-07,5.0,0,6.0,0,8.0,0,5.0,0,0.0,1,2013-06-01,2013-05-01,2013-06-01,2013-04-01,2013-06-01,2013-07-20,2013-07-13
2013-08-02,0,2013-08-02,slowdown,slowdown,official,0.46032880977582397,-0.08286449285945585,0,0,0,0,0.40653743587551977,labor_stress,0.9357044699294669,-0.12127179323976914,none,absent,False,0.3178525915662243,0,slowdown,0.0,0.030254829816630965,0,0,4,,4,0,0.14765942240238122,0.030370650282824332,0.39638886167599424,0.3258882534671073,0.4559507435776338,0.6437408450333316,9.723439907948935e-07,2.512167366197324e-07,6.0,0,3.0,0,4.0,0,6.0,0,0.0,1,2013-07-01,2013-06-01,2013-06-01,2013-04-01,2013-06-01,2013-07-27,2013-07-20
2013-08-09,0,2013-08-09,expansion,slowdown,official,0.5077893864693657,-0.0411296328192307,0,0,0,0,0.393015632068455,labor_stress,0.9978458334045537,-0.17095750991414374,none,absent,False,0.013389300440430962,0,slowdown,0.0,0.03663375212445937,0,0,4,,4,0,0.13878856074926135,0.036680630917084206,0.43800714138725394,0.4749649313762047,0.42320335499579376,0.4883542318166357,9.428676908644063e-07,2.0589007543322946e-07,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2013-07-01,2013-06-01,2013-06-01,2013-05-01,2013-06-01,2013-08-03,2013-07-27
2013-08-16,0,2013-08-16,expansion,slowdown,official,0.5130932646676906,0.002033208275054638,0,0,0,0,0.4175065889862049,labor_stress,1.0710990938160176,0.23336405052344114,none,absent,False,0.015668826720943607,0,slowdown,0.0,0.0,0,0,4,,4,0,0.14391885962934683,0.036057703295116095,0.45901263682169274,0.4741366265051899,0.3970675634211141,0.4898054532261335,9.40127846373672e-07,2.1697356052572144e-07,4.0,0,5.0,0,6.0,0,4.0,0,0.0,1,2013-07-01,2013-06-01,2013-07-01,2013-05-01,2013-07-01,2013-08-10,2013-08-03
