lam,epsilon,confirmation_weeks,immediate_margin,overall_recall,false_positive_rate,precision,f1,recession_weeks,first_third_weeks,first_third_recall,middle_third_weeks,middle_third_recall,final_third_weeks,final_third_recall,first_half_weeks,first_half_recall,core_weeks,core_recall,recession_weeks_classified_recovery,trough_adjacent_weeks,trough_adjacent_classified_recovery,non_trough_recession_weeks_classified_recovery,false_positive_episodes,longest_false_positive_episode,four_week_confirmed_false_positive_episodes,one_step_transitions,two_step_transitions,three_week_whipsaws,longest_run_weeks,minimum_phase_entries,phases_reached,occupancy_recovery,occupancy_expansion,occupancy_slowdown,occupancy_contraction,entries_recovery,entries_expansion,entries_slowdown,entries_contraction,raw_official_disagreement_rate,longest_disagreement_run,single_domain_official_contraction_weeks,certainty_no_inversion,mean_separation_high,mean_separation_low,median_transition_delay_weeks,maximum_transition_delay_weeks,immediate_transitions,confirmed_transitions,recession_2001_first_recession_alert_weeks,recession_2001_first_raw_contraction_weeks,recession_2001_first_official_contraction_weeks,recession_2001_four_week_confirmed_contraction_weeks,gfc_first_recession_alert_weeks,gfc_first_raw_contraction_weeks,gfc_first_official_contraction_weeks,gfc_four_week_confirmed_contraction_weeks,level_severity,momentum_severity,level_breadth,momentum_breadth,contraction_entry,corroboration_share,changed_parameters,stage
1.8,0.01,3,0.3,0.938053,0.033898,0.791045,0.8583,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,11,3,48,3,0,71,3,"contraction,expansion,recovery,slowdown",0.120341,0.411076,0.325879,0.142705,3,24,22,3,0.172524,10,0,True,0.70779,0.221161,2.0,2,14,37,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,3,2,0.75,0.15,5,2
1.8,0.01,3,0.3,0.938053,0.033898,0.791045,0.8583,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,11,3,48,3,0,71,3,"contraction,expansion,recovery,slowdown",0.120341,0.411076,0.325879,0.142705,3,24,22,3,0.172524,10,0,True,0.70779,0.221161,2.0,2,14,37,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,2,2,0.75,0.15,6,2
1.8,0.01,3,0.3,0.938053,0.033898,0.791045,0.8583,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,11,3,48,3,0,71,3,"contraction,expansion,recovery,slowdown",0.120341,0.411076,0.325879,0.142705,3,24,22,3,0.172524,10,0,True,0.70779,0.221161,2.0,2,14,37,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,4,2,0.75,0.15,6,2
1.8,0.02,3,0.3,0.938053,0.03632,0.779412,0.851406,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,12,3,48,3,0,71,3,"contraction,expansion,recovery,slowdown",0.120341,0.411076,0.323749,0.144835,3,24,22,3,0.170394,10,0,True,0.702403,0.217021,2.0,2,15,36,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,3,2,0.75,0.15,5,2
1.8,0.02,3,0.3,0.938053,0.03632,0.779412,0.851406,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,12,3,48,3,0,71,3,"contraction,expansion,recovery,slowdown",0.120341,0.411076,0.323749,0.144835,3,24,22,3,0.170394,10,0,True,0.702403,0.217021,2.0,2,15,36,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,2,2,0.75,0.15,6,2
1.8,0.02,3,0.3,0.938053,0.03632,0.779412,0.851406,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,12,3,48,3,0,71,3,"contraction,expansion,recovery,slowdown",0.120341,0.411076,0.323749,0.144835,3,24,22,3,0.170394,10,0,True,0.702403,0.217021,2.0,2,15,36,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,4,2,0.75,0.15,6,2
1.2,0.005,3,0.3,0.938053,0.03753,0.773723,0.848,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,12,3,54,3,0,71,3,"contraction,expansion,recovery,slowdown",0.117146,0.415335,0.321619,0.1459,4,28,23,3,0.159744,10,0,True,0.648551,0.174291,2.0,2,12,45,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,3,2,0.75,0.15,5,2
1.2,0.01,3,0.3,0.938053,0.03753,0.773723,0.848,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,12,3,54,3,0,71,3,"contraction,expansion,recovery,slowdown",0.117146,0.415335,0.321619,0.1459,4,28,23,3,0.159744,10,0,True,0.646928,0.172958,2.0,2,12,45,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,3,2,0.75,0.15,5,2
1.2,0.02,3,0.3,0.938053,0.03753,0.773723,0.848,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,12,3,52,4,0,71,3,"contraction,expansion,recovery,slowdown",0.119276,0.408946,0.325879,0.1459,4,27,23,3,0.15655,8,0,True,0.645354,0.16897,2.0,2,12,44,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,3,2,0.75,0.15,5,2
1.2,0.005,3,0.3,0.938053,0.03753,0.773723,0.848,113,37,0.918919,38,1.0,38,0.894737,56,0.946429,38,1.0,4,16,4,0,3,12,3,54,3,0,71,3,"contraction,expansion,recovery,slowdown",0.117146,0.415335,0.321619,0.1459,4,28,23,3,0.159744,10,0,True,0.648551,0.174291,2.0,2,12,45,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,2.6,0.7,2,2,0.75,0.15,6,2
