phase,horizon_weeks,weeks,episodes,observations,mean_forward,median_forward,annualised_volatility,annualised_downside_volatility,share_negative,worst_forward,fifth_percentile
recovery,4,144,4,144,0.016764,0.022875,0.1612,0.1794,0.2847,-0.1209,-0.0699
expansion,4,1280,17,1270,0.007818,0.012956,0.1434,0.1598,0.3559,-0.1733,-0.0634
slowdown,4,87,11,87,0.009188,0.01433,0.153,0.1537,0.3793,-0.1069,-0.0645
contraction,4,164,5,164,-0.004512,0.00525,0.3011,0.351,0.4634,-0.3164,-0.1258
recovery,13,144,4,144,0.056686,0.062739,0.1289,0.1373,0.1667,-0.1846,-0.068
expansion,13,1280,17,1261,0.026649,0.033316,0.1325,0.1418,0.2855,-0.2421,-0.0953
slowdown,13,87,11,87,-0.007908,-0.010947,0.1658,0.177,0.5172,-0.1774,-0.1397
contraction,13,164,5,164,-0.00994,-0.009671,0.2836,0.2983,0.5183,-0.388,-0.2826
recovery,26,144,4,144,0.105012,0.120988,0.1373,0.0713,0.1944,-0.0983,-0.0706
expansion,26,1280,17,1248,0.051045,0.059881,0.1266,0.1318,0.2404,-0.2825,-0.1153
slowdown,26,87,11,87,0.005254,0.045094,0.1748,0.2042,0.4023,-0.2605,-0.2301
contraction,26,164,5,164,-0.001949,-0.022267,0.3009,0.2823,0.5671,-0.4415,-0.3603
recovery,52,144,4,144,0.181806,0.161672,0.0983,,0.0,0.0201,0.0626
expansion,52,1280,17,1227,0.101799,0.121635,0.1398,0.1611,0.1809,-0.4455,-0.1687
slowdown,52,87,11,82,-0.000546,0.069721,0.2056,0.2239,0.4512,-0.3793,-0.3033
contraction,52,164,5,164,0.051132,-0.086837,0.3174,0.2404,0.5305,-0.4568,-0.362
