phase,episode,start,end,weeks,block_only,block_only_weeks_removed,event_including,event_including_weeks_removed
recovery,1,2002-07-05,2002-09-06,10,2.471,10,2.471,23
recovery,2,2003-06-27,2004-02-13,34,2.11,34,2.086,47
recovery,3,2009-06-05,2010-08-06,62,2.104,62,2.104,75
recovery,4,2020-07-03,2021-03-19,38,2.173,38,2.173,51
expansion,1,1994-07-15,1995-04-21,41,2.173,41,2.173,54
expansion,2,1995-07-28,1998-08-21,161,2.173,161,2.173,174
expansion,3,1998-09-04,2000-07-21,99,2.173,99,2.173,112
expansion,4,2002-02-01,2002-06-28,22,2.353,22,2.576,35
expansion,5,2002-09-13,2003-03-07,26,2.515,26,2.608,39
expansion,6,2003-05-23,2003-06-20,5,2.173,5,2.173,18
expansion,7,2004-02-20,2005-10-14,87,2.02,87,2.02,100
expansion,8,2005-11-18,2007-08-31,94,2.173,94,2.173,107
expansion,9,2007-10-12,2008-01-11,14,2.173,14,2.206,27
expansion,10,2010-08-13,2018-12-14,436,2.09,436,2.152,449
expansion,11,2019-04-19,2019-06-28,11,2.173,11,2.173,24
expansion,12,2019-08-23,2019-11-22,14,2.173,14,2.135,27
expansion,13,2020-03-06,2020-03-06,1,2.167,1,2.016,14
expansion,14,2021-03-26,2022-07-08,68,2.231,68,2.173,81
expansion,15,2022-08-12,2023-01-06,22,2.173,22,2.173,35
expansion,16,2023-02-10,2025-11-28,147,2.173,147,2.173,160
expansion,17,2026-01-09,2026-08-14,32,2.173,32,2.173,32
slowdown,1,1995-04-28,1995-07-21,13,2.173,13,2.173,26
slowdown,2,1998-08-28,1998-08-28,1,2.173,1,2.189,14
slowdown,3,2000-07-28,2001-01-19,26,2.933,26,3.009,39
slowdown,4,2005-10-21,2005-11-11,4,2.173,4,2.173,17
slowdown,5,2007-09-07,2007-10-05,5,2.173,5,2.173,18
slowdown,6,2008-01-18,2008-01-18,1,2.173,1,2.216,14
slowdown,7,2018-12-21,2019-04-12,17,2.173,17,2.173,30
slowdown,8,2019-07-05,2019-08-16,7,2.173,7,2.173,20
slowdown,9,2022-07-15,2022-08-05,4,2.173,4,2.173,17
slowdown,10,2023-01-13,2023-02-03,4,2.173,4,2.173,17
slowdown,11,2025-12-05,2026-01-02,5,2.173,5,2.173,18
contraction,1,2001-01-26,2002-01-25,53,2.526,53,2.563,66
contraction,2,2003-03-14,2003-05-16,10,2.173,10,2.173,23
contraction,3,2008-01-25,2009-05-29,71,1.693,71,1.693,84
contraction,4,2019-11-29,2020-02-28,14,2.135,14,2.135,27
contraction,5,2020-03-13,2020-06-26,16,2.019,16,2.027,29
