group,gate,value,limit,passes,reported_only
contraction_entry,no_confirmed_2019_contraction_before_the_recession,null,null,True,False
contraction_entry,first_official_contraction_within_10_weeks,3,null,True,False
contraction_entry,first_persistent_four_week_sequence_within_10_weeks,8,null,True,False
contraction_entry,at_least_four_of_eight_recession_weeks_as_contraction,4,null,True,False
contraction_entry,no_official_contraction_below_two_confirming_domains,0,null,True,False
contraction_entry,no_concentrated_signal_decided_the_official_phase,0,null,True,False
recovery_and_exit,development_benchmark_first_recovery_lag,11,31,True,False
recovery_and_exit,development_benchmark_post_trough_contraction_run,11,8,False,False
recovery_and_exit,no_premature_four_week_recovery_inside_a_recession,"[""gfc_2009""]",null,False,False
recovery_and_exit,contraction_recovery_round_trips_within_13_weeks,0,null,True,True
operational_integrity,zero_future_information_violations,0,null,True,False
operational_integrity,cache_only_no_network_no_key,"{""network_used"": false, ""api_key_used"": false, ""latest_vintage_substitution"": false, ""backward_fill_used"": false}",null,True,False
operational_integrity,exactly_688_as_of_weeks,688,null,True,False
operational_integrity,withheld_and_preliminary_weeks_reproduced,"{""official_weeks"": 646, ""preliminary_weeks"": 32, ""withheld_weeks"": 10}",null,True,False
operational_integrity,no_official_phase_on_a_withheld_week,0,null,True,False
operational_integrity,raw_measurements_preserved_on_withheld_weeks,10,null,True,False
operational_integrity,raw_versus_official_disagreement_within_structural_limit,5,26,True,False
