as_of,last_modelled_week,phase_status,information_lag_weeks,realtime_raw,latest_raw,realtime_official,latest_official,realtime_alert,latest_alert,level_difference,momentum_difference,breadth_difference,concentration_difference,usrec,raw_agrees,official_agrees,alert_agrees,cause
2019-07-05,2019-07-05,official,0,slowdown,slowdown,slowdown,slowdown,watch,watch,0.0941932542439831,-0.06142491183780918,0,-0.13510119267485388,0,True,True,True,
2019-07-12,2019-07-12,official,0,slowdown,slowdown,slowdown,slowdown,none,none,0.08790482342686257,-0.11049707290784228,0,-0.16238426308061388,0,True,True,True,
2019-07-19,2019-07-19,official,0,slowdown,slowdown,slowdown,slowdown,none,watch,0.11235647002794528,0.19808891708087628,0,-0.09689920671929686,0,True,True,False,
2019-07-26,2019-07-26,official,0,slowdown,slowdown,slowdown,slowdown,none,none,0.09578473467261014,0.09566904228953516,0,-0.032103945821622015,0,True,True,True,
2019-08-02,2019-08-02,official,0,slowdown,slowdown,slowdown,slowdown,none,none,0.1745736723752428,-0.03154771472704565,0,0.06790900631777746,0,True,True,True,
2019-08-09,2019-08-09,official,0,slowdown,slowdown,slowdown,slowdown,none,none,0.14193480460024435,-0.12290447957294728,0,0.0406720045761188,0,True,True,True,
2019-08-16,2019-08-16,official,0,slowdown,slowdown,slowdown,slowdown,none,none,0.09413057849270459,0.01727373973230148,0,0.06199798982344812,0,True,True,True,
2019-08-23,2019-08-23,official,0,slowdown,expansion,slowdown,slowdown,none,none,0.03174452426572935,-0.3571562757741241,0,0.06729223504130188,0,False,True,True,
2019-08-30,2019-08-30,official,0,slowdown,expansion,slowdown,slowdown,none,none,0.013571915837325504,-0.4545494082239292,0,-0.11904162083781644,0,False,True,True,
2019-09-06,2019-09-06,official,0,slowdown,expansion,slowdown,slowdown,none,none,0.00012840019468862707,-0.5641448189920119,0,-0.1568427192272217,0,False,True,True,
2019-09-13,2019-09-13,official,0,slowdown,expansion,slowdown,expansion,none,none,0.05586130349676449,-0.4071853879595236,0,-0.0979798710368806,0,False,False,True,direct_data_revision
2019-09-20,2019-09-20,official,0,slowdown,slowdown,slowdown,expansion,none,none,0.1881738254515455,0.17825532172564654,0,-0.05797098817202789,0,True,False,True,filter_path_dependence_after_revision
2019-09-27,2019-09-27,official,0,slowdown,slowdown,slowdown,expansion,none,none,0.17699964709491453,0.26042487200925235,0,-0.01813098377449046,0,True,False,True,filter_path_dependence_after_revision
2019-10-04,2019-10-04,official,0,slowdown,slowdown,slowdown,expansion,none,none,0.16027208791248912,0.2176127733124944,0,-0.015363863526266175,0,True,False,True,filter_path_dependence_after_revision
2019-10-11,2019-10-11,official,0,slowdown,slowdown,slowdown,slowdown,none,none,0.14659069870404123,0.34935500098311745,0,-0.07011047106863988,0,True,True,True,
2019-10-18,2019-10-18,official,0,slowdown,slowdown,slowdown,slowdown,watch,elevated,0.2368330300873972,1.0422650339794854,-1,-0.07154473140643547,0,True,True,False,
2019-10-25,2019-10-25,official,0,slowdown,slowdown,slowdown,slowdown,watch,elevated,0.22927260867490185,0.9486441811601725,-1,-0.004781894981134016,0,True,True,False,
2019-11-01,2019-11-01,official,0,slowdown,slowdown,slowdown,slowdown,none,elevated,0.2718227705033766,1.403531016122181,-1,0.03290104593191806,0,True,True,False,
2019-11-08,2019-11-08,official,0,slowdown,slowdown,slowdown,slowdown,watch,high,0.29517123953493285,1.3321074050509765,-1,0.09574070016325742,0,True,True,False,
2019-11-15,2019-11-15,official,0,slowdown,slowdown,slowdown,slowdown,elevated,high,0.2948689939036755,0.6428196741435754,-2,0.1857973540673773,0,True,True,False,
2019-11-22,2019-11-22,official,0,slowdown,contraction,slowdown,slowdown,elevated,high,0.25725376660910104,0.06485058611062477,-2,0.13172553523316183,0,False,True,False,
2019-11-29,2019-11-29,official,0,slowdown,contraction,slowdown,contraction,high,high,0.2600218694950965,-0.34207654954878164,-2,0.14427632447195538,0,False,False,True,direct_data_revision
2019-12-06,2019-12-06,official,0,slowdown,contraction,slowdown,contraction,high,high,0.41261928204105985,-0.054270651780052415,-2,0.055260511706596405,0,False,False,True,direct_data_revision
2019-12-13,2019-12-13,official,0,slowdown,contraction,slowdown,contraction,high,high,0.38763625008494434,-0.22844045084644193,-2,0.09407725861302108,0,False,False,True,direct_data_revision
2019-12-20,2019-12-20,official,0,slowdown,contraction,slowdown,contraction,high,high,0.4773596808762239,-0.27908789500880316,-2,0.16357571360116496,0,False,False,True,direct_data_revision
2019-12-27,2019-12-27,official,0,contraction,contraction,slowdown,contraction,high,high,0.39724120291606657,-0.28101648982764593,-2,0.17073449456910217,0,True,False,True,filter_path_dependence_after_revision
2020-01-03,2020-01-03,official,0,contraction,contraction,slowdown,contraction,high,high,0.37224349822295144,-0.0021621520403987127,-2,0.1564570593982133,0,True,False,True,filter_path_dependence_after_revision
2020-01-10,2020-01-10,official,0,contraction,contraction,slowdown,contraction,high,high,0.45291260625843655,-0.06064707761673649,-2,0.14711762570611386,0,True,False,True,filter_path_dependence_after_revision
2020-01-17,2020-01-17,official,0,slowdown,contraction,contraction,contraction,high,high,0.6369073711103701,1.4580676661640128,-2,0.2051665926646532,0,False,True,True,
2020-01-24,2020-01-24,official,0,slowdown,contraction,contraction,contraction,high,high,0.6690839570839581,1.4017775879022998,-2,0.1893318194695961,0,False,True,True,
2020-01-31,2020-01-31,official,0,slowdown,contraction,slowdown,contraction,high,high,0.43634291457588364,0.6806968142339581,-2,0.32161764399918125,0,False,False,True,direct_data_revision
2020-02-07,2020-02-07,official,0,slowdown,contraction,slowdown,contraction,none,high,0.4181016623148376,0.6828519912072604,-2,0.3403246783149499,0,False,False,False,direct_data_revision
2020-02-14,2020-02-14,official,0,slowdown,slowdown,slowdown,contraction,watch,watch,0.3138968314178777,-0.0663906287443588,-2,0.3138293394137568,0,True,False,True,filter_path_dependence_after_revision
