,x,y,radius,phase_code,broad_phase,p_contraction_early,p_contraction_late,p_contraction_mid,p_expansion_early,p_expansion_late,p_expansion_mid,p_recovery_early,p_recovery_late,p_recovery_mid,p_slowdown_early,p_slowdown_late,p_slowdown_mid,model_status
1995-01-06,0.4372562806,1.3469708315,1.4161650595,expansion_late,expansion,0.0,0.0,0.0,0.0047582255,0.6613119605,0.170382473,1.848e-07,5.32826e-05,1.0826e-06,0.1595954362,2.71317e-05,0.0038702231,official
1995-01-13,0.1781368288,1.3326699658,1.3445229517,expansion_late,expansion,0.0,0.0,0.0,0.0020292668,0.6334808203,0.1031170373,9.789e-07,2.04074e-05,3.574e-07,0.2504072975,0.0001084486,0.0108353857,official
1995-01-20,0.1818825374,1.3312530261,1.3436204363,expansion_late,expansion,0.0,0.0,0.0,0.0013202946,0.6023508715,0.0757220809,9.649e-07,1.94522e-05,3.683e-07,0.3032541518,0.0001469684,0.0171848474,official
1995-01-27,0.2570104888,1.3035038746,1.3285995418,expansion_late,expansion,0.0,0.0,0.0,0.0014096332,0.5978194589,0.0745688044,7.099e-07,2.98138e-05,6.715e-07,0.3081461834,0.0001393578,0.0178853672,official
1995-02-03,0.2440533784,1.2969741751,1.3197363609,expansion_late,expansion,0.0,0.0,0.0,0.0013714338,0.5917900459,0.0725325711,7.883e-07,2.92138e-05,6.59e-07,0.3151325413,0.0001531105,0.0189896363,official
1995-02-10,0.0469235221,1.280201919,1.2810615794,expansion_late,expansion,0.0,0.0,0.0,0.0007311778,0.5302941696,0.0492452355,2.4623e-06,1.28087e-05,2.401e-07,0.3866078848,0.0003810727,0.0327249485,official
1995-02-17,-0.2026979544,1.2382317053,1.2547128025,slowdown_early,slowdown,0.0,0.0,0.0,0.0002295758,0.3944644695,0.0224952682,8.6763e-06,3.7361e-06,5.29e-08,0.5068266203,0.0014639278,0.0745076731,official
1995-02-24,-0.363623821,1.2099173428,1.2633773228,slowdown_early,slowdown,0.0,0.0,0.0,7.40054e-05,0.2482850066,0.0089470585,1.6295e-05,1.3538e-06,1.48e-08,0.5929452136,0.004692605,0.1450384472,official
1995-03-03,-0.4437544598,1.1716942442,1.2529107799,slowdown_early,slowdown,0.0,0.0,0.0,3.80564e-05,0.1486064418,0.0039519204,2.33293e-05,8.158e-07,8.1e-09,0.6121708958,0.0111633475,0.2240451848,official
1995-03-10,-0.5233352158,1.1353941542,1.2501998374,slowdown_early,slowdown,0.0,0.0,0.0,2.21084e-05,0.0880196294,0.0017896146,3.21755e-05,4.7e-07,4.2e-09,0.5828738926,0.0220438432,0.3052182621,official
