sample,horizon_weeks,phase,industry,weeks,observations,mean,effect_versus_all_weeks,p_value,bh_rank,survives_bh,survives_bonferroni
revised_long,4,recovery,NoDur,151,151,-0.000648,0.000585,0.9034,43.0,False,False
revised_long,4,recovery,Durbl,151,151,0.022667,0.020957,0.0229,4.0,False,False
revised_long,4,recovery,Manuf,151,151,0.005728,0.004085,0.3039,10.0,False,False
revised_long,4,recovery,Enrgy,151,151,0.001383,0.001102,0.8868,41.0,False,False
revised_long,4,recovery,Chems,151,151,0.000634,0.00234,0.5912,28.0,False,False
revised_long,4,recovery,BusEq,151,151,0.00114,-0.002194,0.6472,30.0,False,False
revised_long,4,recovery,Telcm,151,151,0.001782,0.005226,0.3446,12.0,False,False
revised_long,4,recovery,Utils,151,151,-0.006817,-0.005812,0.356,13.0,False,False
revised_long,4,recovery,Shops,151,151,-0.003063,-0.003487,0.3776,16.0,False,False
revised_long,4,recovery,Hlth,151,151,-0.005141,-0.005445,0.2416,8.0,False,False
revised_long,4,recovery,Money,151,151,0.002939,0.002817,0.5569,26.0,False,False
revised_long,4,recovery,Other,151,151,0.003398,0.005571,0.0134,3.0,False,False
revised_long,4,expansion,NoDur,685,680,-0.000511,0.000722,0.7095,34.0,False,False
revised_long,4,expansion,Durbl,685,680,-0.0089,-0.01061,0.0006,1.0,True,True
revised_long,4,expansion,Manuf,685,680,0.002632,0.000989,0.4933,22.0,False,False
revised_long,4,expansion,Enrgy,685,680,0.001222,0.000941,0.7629,35.0,False,False
revised_long,4,expansion,Chems,685,680,-0.002781,-0.001076,0.5385,25.0,False,False
revised_long,4,expansion,BusEq,685,680,0.003934,0.0006,0.78,36.0,False,False
revised_long,4,expansion,Telcm,685,680,-0.003241,0.000203,0.9161,44.0,False,False
revised_long,4,expansion,Utils,685,680,-0.000689,0.000316,0.8881,42.0,False,False
revised_long,4,expansion,Shops,685,680,-0.001564,-0.001988,0.1259,6.0,False,False
revised_long,4,expansion,Hlth,685,680,0.001286,0.000982,0.583,27.0,False,False
revised_long,4,expansion,Money,685,680,-0.00051,-0.000632,0.7044,33.0,False,False
revised_long,4,expansion,Other,685,680,-0.002198,-2.4e-05,0.9841,46.0,False,False
revised_long,4,slowdown,NoDur,677,672,-0.003313,-0.00208,0.2734,9.0,False,False
revised_long,4,slowdown,Durbl,677,672,0.004908,0.003197,0.3573,14.0,False,False
revised_long,4,slowdown,Manuf,677,672,0.000436,-0.001208,0.4584,21.0,False,False
revised_long,4,slowdown,Enrgy,677,672,0.000326,4.5e-05,0.9917,47.0,False,False
revised_long,4,slowdown,Chems,677,672,-0.001977,-0.000271,0.8722,40.0,False,False
revised_long,4,slowdown,BusEq,677,672,0.003223,-0.000111,0.9555,45.0,False,False
revised_long,4,slowdown,Telcm,677,672,-0.003915,-0.000471,0.8163,37.0,False,False
revised_long,4,slowdown,Utils,677,672,-0.000498,0.000507,0.8353,38.0,False,False
revised_long,4,slowdown,Shops,677,672,0.000684,0.000261,0.8404,39.0,False,False
revised_long,4,slowdown,Hlth,677,672,-0.000472,-0.000776,0.6853,32.0,False,False
revised_long,4,slowdown,Money,677,672,0.001803,0.001681,0.3592,15.0,False,False
revised_long,4,slowdown,Other,677,672,-0.003098,-0.000925,0.4278,18.0,False,False
revised_long,4,contraction,NoDur,162,162,0.003818,0.005052,0.3929,17.0,False,False
revised_long,4,contraction,Durbl,162,162,0.01345,0.011739,0.1704,7.0,False,False
revised_long,4,contraction,Manuf,162,162,-0.001306,-0.002949,0.4558,20.0,False,False
revised_long,4,contraction,Enrgy,162,162,-0.00488,-0.005161,0.5219,23.0,False,False
revised_long,4,contraction,Chems,162,162,0.001756,0.003461,0.4393,19.0,False,False
