sample,horizon_weeks,phase,industry,observations,sufficient,mean,median,sd,p10,p90,share_positive
revised_long,4,recovery,NoDur,151,True,-0.000648,0.000516,0.025485,-0.03378,0.029225,0.5099
revised_long,4,recovery,Durbl,151,True,0.022667,0.010149,0.069971,-0.038815,0.08873,0.6026
revised_long,4,recovery,Manuf,151,True,0.005728,0.005826,0.026103,-0.024907,0.036462,0.6093
revised_long,4,recovery,Enrgy,151,True,0.001383,-0.006267,0.068732,-0.066702,0.058859,0.4238
revised_long,4,recovery,Chems,151,True,0.000634,-0.000134,0.028028,-0.031865,0.03587,0.4901
revised_long,4,recovery,BusEq,151,True,0.00114,0.00132,0.031365,-0.037364,0.032784,0.5364
revised_long,4,recovery,Telcm,151,True,0.001782,0.002165,0.034902,-0.038445,0.043357,0.5298
revised_long,4,recovery,Utils,151,True,-0.006817,-0.004817,0.036058,-0.057833,0.039289,0.4106
revised_long,4,recovery,Shops,151,True,-0.003063,-0.00011,0.025273,-0.038773,0.027644,0.4967
revised_long,4,recovery,Hlth,151,True,-0.005141,-0.009236,0.0307,-0.040312,0.032081,0.3907
revised_long,4,recovery,Money,151,True,0.002939,-0.003745,0.029018,-0.026293,0.03155,0.4371
revised_long,4,recovery,Other,151,True,0.003398,0.003234,0.018742,-0.021078,0.024487,0.5563
revised_long,4,expansion,NoDur,680,True,-0.000511,4.6e-05,0.031059,-0.035082,0.032786,0.5015
revised_long,4,expansion,Durbl,680,True,-0.0089,-0.008049,0.048237,-0.060755,0.042132,0.4088
revised_long,4,expansion,Manuf,680,True,0.002632,0.001757,0.023972,-0.024039,0.027968,0.5485
revised_long,4,expansion,Enrgy,680,True,0.001222,-0.00321,0.05253,-0.058057,0.060357,0.4662
revised_long,4,expansion,Chems,680,True,-0.002781,-0.000967,0.03029,-0.03165,0.025237,0.4824
revised_long,4,expansion,BusEq,680,True,0.003934,0.001907,0.031466,-0.032041,0.040808,0.5397
revised_long,4,expansion,Telcm,680,True,-0.003241,-0.002633,0.0294,-0.037723,0.031127,0.4529
revised_long,4,expansion,Utils,680,True,-0.000689,-0.001242,0.039816,-0.045715,0.046388,0.4838
revised_long,4,expansion,Shops,680,True,-0.001564,-0.000371,0.024037,-0.030445,0.025439,0.4882
revised_long,4,expansion,Hlth,680,True,0.001286,0.000616,0.030074,-0.031883,0.035211,0.5118
revised_long,4,expansion,Money,680,True,-0.00051,-0.000573,0.026652,-0.029347,0.029015,0.4941
revised_long,4,expansion,Other,680,True,-0.002198,-0.002196,0.017676,-0.022781,0.018431,0.425
revised_long,4,slowdown,NoDur,672,True,-0.003313,-0.005189,0.034127,-0.040632,0.035605,0.433
revised_long,4,slowdown,Durbl,672,True,0.004908,-0.00231,0.066771,-0.054735,0.06606,0.4643
revised_long,4,slowdown,Manuf,672,True,0.000436,9.4e-05,0.023805,-0.028846,0.026196,0.5015
revised_long,4,slowdown,Enrgy,672,True,0.000326,-0.003819,0.053361,-0.061889,0.067307,0.4628
revised_long,4,slowdown,Chems,672,True,-0.001977,-0.004171,0.034499,-0.036842,0.032486,0.4524
revised_long,4,slowdown,BusEq,672,True,0.003223,0.002977,0.035009,-0.034712,0.042925,0.5491
revised_long,4,slowdown,Telcm,672,True,-0.003915,-0.00411,0.033663,-0.043955,0.033942,0.4568
revised_long,4,slowdown,Utils,672,True,-0.000498,-0.002307,0.045183,-0.051105,0.054931,0.4807
revised_long,4,slowdown,Shops,672,True,0.000684,-0.000934,0.0255,-0.025792,0.028943,0.4836
revised_long,4,slowdown,Hlth,672,True,-0.000472,-0.00171,0.033966,-0.038922,0.040107,0.4673
revised_long,4,slowdown,Money,672,True,0.001803,0.001633,0.029038,-0.031619,0.032788,0.5208
revised_long,4,slowdown,Other,672,True,-0.003098,-0.002533,0.017517,-0.023872,0.016286,0.4301
revised_long,4,contraction,NoDur,162,True,0.003818,0.006174,0.038912,-0.049117,0.051636,0.5556
revised_long,4,contraction,Durbl,162,True,0.01345,0.002795,0.077283,-0.070963,0.102261,0.5247
revised_long,4,contraction,Manuf,162,True,-0.001306,-0.002376,0.038145,-0.054775,0.047213,0.4568
revised_long,4,contraction,Enrgy,162,True,-0.00488,0.0002,0.065584,-0.091147,0.07256,0.5
revised_long,4,contraction,Chems,162,True,0.001756,0.000595,0.032371,-0.035959,0.041825,0.5123
revised_long,4,contraction,BusEq,162,True,0.00332,0.01286,0.046855,-0.052371,0.050228,0.6049
revised_long,4,contraction,Telcm,162,True,-0.007214,-0.008981,0.033691,-0.043606,0.041301,0.4012
revised_long,4,contraction,Utils,162,True,0.000985,0.000672,0.051504,-0.07073,0.063467,0.5
revised_long,4,contraction,Shops,162,True,0.010939,0.008054,0.027217,-0.019749,0.048407,0.6543
