sample,horizon_weeks,overall_p_value,phase,weeks,dispersion,p_value,null_median,ratio_to_null_median
revised_long,4,0.2454,recovery,151,5.0799e-05,0.2333,2.6518e-05,1.916
revised_long,4,0.2454,expansion,685,1.0161e-05,0.0413,3.835e-06,2.65
revised_long,4,0.2454,slowdown,677,1.744e-06,0.9091,3.846e-06,0.453
revised_long,4,0.2454,contraction,162,3.3881e-05,0.3325,2.5297e-05,1.339
revised_long,13,0.1926,recovery,151,0.000495549,0.2441,0.000266073,1.862
revised_long,13,0.1926,expansion,685,7.4317e-05,0.0388,2.9497e-05,2.52
revised_long,13,0.1926,slowdown,677,1.0299e-05,0.9619,2.7874e-05,0.369
revised_long,13,0.1926,contraction,162,0.000512926,0.1532,0.000255382,2.008
revised_long,26,0.1341,recovery,151,0.001908384,0.2467,0.001024496,1.863
revised_long,26,0.1341,expansion,685,0.00023225,0.0369,9.2751e-05,2.504
revised_long,26,0.1341,slowdown,677,3.3162e-05,0.9485,8.7379e-05,0.38
revised_long,26,0.1341,contraction,162,0.002919041,0.0788,0.000958358,3.046
revised_overlap,4,0.0171,recovery,38,0.000305426,0.0802,7.8775e-05,3.877
revised_overlap,4,0.0171,expansion,268,4.684e-05,0.0017,1.3019e-05,3.598
revised_overlap,4,0.0171,slowdown,354,5.806e-06,0.5614,6.599e-06,0.88
revised_overlap,4,0.0171,contraction,28,0.000549545,0.0529,0.000106653,5.153
revised_overlap,13,0.0137,recovery,38,0.003033248,0.0648,0.000806999,3.759
revised_overlap,13,0.0137,expansion,268,0.000173532,0.1689,0.000112394,1.544
revised_overlap,13,0.0137,slowdown,354,1.858e-05,0.9044,5.1117e-05,0.363
revised_overlap,13,0.0137,contraction,28,0.0076714,0.0051,0.000936008,8.196
revised_overlap,26,0.0017,recovery,38,0.009812269,0.07,0.002877896,3.41
revised_overlap,26,0.0017,expansion,268,0.000430933,0.372,0.000367488,1.173
revised_overlap,26,0.0017,slowdown,354,9.6996e-05,0.8413,0.000181222,0.535
revised_overlap,26,0.0017,contraction,28,0.038722818,0.0017,0.00323922,11.954
real_time_overlap,4,0.0154,recovery,34,0.000451953,0.041,8.3491e-05,5.413
real_time_overlap,4,0.0154,expansion,288,4.9423e-05,0.0017,1.04e-05,4.752
real_time_overlap,4,0.0154,slowdown,338,9.045e-06,0.2969,6.681e-06,1.354
real_time_overlap,4,0.0154,contraction,18,0.000831471,0.0529,0.000140809,5.905
real_time_overlap,13,0.0137,recovery,34,0.003724043,0.041,0.000789517,4.717
real_time_overlap,13,0.0137,expansion,288,8.1863e-05,0.3942,6.9533e-05,1.177
real_time_overlap,13,0.0137,slowdown,338,1.1831e-05,0.9863,4.1217e-05,0.287
