labelling,horizon_weeks,window_removed,weeks_removed,weeks_left,usable,phase_weeks_left,phases_left_with_no_weeks,phase_means_without_it,incremental_r_squared_without_it,p_value_without_it,still_adds_something
revised,26,dot-com bust (2000-03 ~ 2002-12),174,1501,True,"{'recovery': 135, 'expansion': 646, 'slowdown': 610, 'contraction': 110}",[],"{'recovery': 0.042494, 'expansion': 0.003853, 'slowdown': -0.005436, 'contraction': -0.032676}",0.02676,0.4601,False
revised,26,global financial crisis (2007-07 ~ 2009-12),156,1519,True,"{'recovery': 121, 'expansion': 662, 'slowdown': 645, 'contraction': 91}",[],"{'recovery': 0.031362, 'expansion': 0.011288, 'slowdown': 0.013319, 'contraction': 0.003475}",0.00483,0.9337,False
revised,26,covid (2020-01 ~ 2021-12),131,1544,True,"{'recovery': 113, 'expansion': 646, 'slowdown': 651, 'contraction': 134}",[],"{'recovery': 0.008239, 'expansion': 0.000724, 'slowdown': 0.014536, 'contraction': 0.037212}",0.01526,0.7144,False
revised,52,dot-com bust (2000-03 ~ 2002-12),200,1475,True,"{'recovery': 135, 'expansion': 636, 'slowdown': 594, 'contraction': 110}",[],"{'recovery': 0.060521, 'expansion': 0.010473, 'slowdown': -0.020203, 'contraction': -0.003195}",0.01731,0.7727,False
revised,52,global financial crisis (2007-07 ~ 2009-12),182,1493,True,"{'recovery': 121, 'expansion': 662, 'slowdown': 619, 'contraction': 91}",[],"{'recovery': 0.065156, 'expansion': 0.028639, 'slowdown': 0.01466, 'contraction': 0.069524}",0.01338,0.7902,False
revised,52,covid (2020-01 ~ 2021-12),157,1518,True,"{'recovery': 113, 'expansion': 646, 'slowdown': 625, 'contraction': 134}",[],"{'recovery': -0.002944, 'expansion': 0.01231, 'slowdown': 0.026424, 'contraction': 0.060236}",0.01258,0.8416,False
revised,104,dot-com bust (2000-03 ~ 2002-12),252,1423,True,"{'recovery': 135, 'expansion': 616, 'slowdown': 562, 'contraction': 110}",[],"{'recovery': 0.119052, 'expansion': -0.010459, 'slowdown': -0.023241, 'contraction': 0.075281}",0.05571,0.3965,False
revised,104,global financial crisis (2007-07 ~ 2009-12),234,1441,True,"{'recovery': 121, 'expansion': 626, 'slowdown': 603, 'contraction': 91}",[],"{'recovery': 0.167615, 'expansion': 0.030977, 'slowdown': 0.054163, 'contraction': 0.153693}",0.03689,0.3906,False
revised,104,covid (2020-01 ~ 2021-12),209,1466,True,"{'recovery': 113, 'expansion': 618, 'slowdown': 601, 'contraction': 134}",[],"{'recovery': 0.004038, 'expansion': 0.032618, 'slowdown': 0.077214, 'contraction': 0.06928}",0.01036,0.9025,False
real-time,26,dot-com bust (2000-03 ~ 2002-12),0,688,True,"{'recovery': 34, 'expansion': 288, 'slowdown': 338, 'contraction': 18}",[],"{'recovery': 0.117792, 'expansion': 0.002062, 'slowdown': -0.02042, 'contraction': -0.079091}",0.09959,0.0881,False
real-time,26,global financial crisis (2007-07 ~ 2009-12),0,688,True,"{'recovery': 34, 'expansion': 288, 'slowdown': 338, 'contraction': 18}",[],"{'recovery': 0.117792, 'expansion': 0.002062, 'slowdown': -0.02042, 'contraction': -0.079091}",0.09959,0.0881,False
real-time,26,covid (2020-01 ~ 2021-12),131,557,True,"{'recovery': 0, 'expansion': 251, 'slowdown': 296, 'contraction': 0}","['recovery', 'contraction']","{'recovery': None, 'expansion': -0.022086, 'slowdown': -0.004953, 'contraction': None}",0.01752,0.244,False
real-time,52,dot-com bust (2000-03 ~ 2002-12),0,688,True,"{'recovery': 34, 'expansion': 288, 'slowdown': 338, 'contraction': 18}",[],"{'recovery': 0.193143, 'expansion': -0.001818, 'slowdown': -0.050934, 'contraction': 0.079623}",0.13933,0.1061,False
real-time,52,global financial crisis (2007-07 ~ 2009-12),0,688,True,"{'recovery': 34, 'expansion': 288, 'slowdown': 338, 'contraction': 18}",[],"{'recovery': 0.193143, 'expansion': -0.001818, 'slowdown': -0.050934, 'contraction': 0.079623}",0.13933,0.1061,False
real-time,52,covid (2020-01 ~ 2021-12),157,531,True,"{'recovery': 0, 'expansion': 251, 'slowdown': 270, 'contraction': 0}","['recovery', 'contraction']","{'recovery': None, 'expansion': -0.044365, 'slowdown': -0.012941, 'contraction': None}",0.03423,0.1105,False
real-time,104,dot-com bust (2000-03 ~ 2002-12),0,688,True,"{'recovery': 34, 'expansion': 288, 'slowdown': 338, 'contraction': 18}",[],"{'recovery': 0.425753, 'expansion': -0.073423, 'slowdown': -0.076353, 'contraction': 0.36397}",0.40486,0.0021,True
real-time,104,global financial crisis (2007-07 ~ 2009-12),0,688,True,"{'recovery': 34, 'expansion': 288, 'slowdown': 338, 'contraction': 18}",[],"{'recovery': 0.425753, 'expansion': -0.073423, 'slowdown': -0.076353, 'contraction': 0.36397}",0.40486,0.0021,True
real-time,104,covid (2020-01 ~ 2021-12),209,479,True,"{'recovery': 0, 'expansion': 217, 'slowdown': 252, 'contraction': 0}","['recovery', 'contraction']","{'recovery': None, 'expansion': -0.063748, 'slowdown': -0.036075, 'contraction': None}",0.00965,0.5281,False
