labelling,horizon_weeks,phase,weeks,episodes,observations,mean_forward_value_return,versus_all_weeks,share_positive
revised,26,recovery,151,4,151,0.035038,0.023788,0.6424
revised,26,expansion,685,45,667,0.007423,-0.003827,0.5457
revised,26,slowdown,677,44,663,0.011366,0.000117,0.5158
revised,26,contraction,162,5,162,0.004355,-0.006894,0.6667
revised,52,recovery,151,4,151,0.050756,0.028554,0.5563
revised,52,expansion,685,45,659,0.023374,0.001171,0.5478
revised,52,slowdown,677,44,645,0.009743,-0.01246,0.5178
revised,52,contraction,162,5,162,0.040432,0.018229,0.6358
revised,104,recovery,151,4,151,0.114754,0.070502,0.6159
revised,104,expansion,685,45,642,0.019494,-0.024758,0.5093
revised,104,slowdown,677,44,610,0.040548,-0.003704,0.5475
revised,104,contraction,162,5,162,0.090599,0.046348,0.7654
real-time,26,recovery,34,2,34,0.117792,0.121838,0.8235
real-time,26,expansion,288,33,265,0.002062,0.006108,0.4113
real-time,26,slowdown,338,37,330,-0.02042,-0.016374,0.403
real-time,26,contraction,18,3,18,-0.079091,-0.075045,0.1667
real-time,52,recovery,34,2,34,0.193143,0.206515,1.0
real-time,52,expansion,288,33,265,-0.001818,0.011554,0.3736
real-time,52,slowdown,338,37,313,-0.050934,-0.037563,0.4153
real-time,52,contraction,18,3,18,0.079623,0.092995,0.8333
real-time,104,recovery,34,2,34,0.425753,0.457647,1.0
real-time,104,expansion,288,33,239,-0.073423,-0.04153,0.364
real-time,104,slowdown,338,37,287,-0.076353,-0.04446,0.331
real-time,104,contraction,18,3,18,0.36397,0.395864,1.0
