window,weeks,annualised,annualised_volatility,sharpe,hac_t,weeks_positive,thin
1920s,183,0.0247,0.0764,0.357,0.579,0.4809,False
1930s,521,-0.0135,0.2025,0.032,0.086,0.4376,False
1940s,522,0.0959,0.0801,1.184,3.437,0.5632,False
1950s,521,0.0327,0.0585,0.58,1.505,0.5067,False
1960s,522,0.0343,0.0559,0.632,1.575,0.546,False
1970s,522,0.0805,0.0735,1.092,2.531,0.5326,False
1980s,522,0.0615,0.0873,0.728,1.934,0.5498,False
1990s,522,-0.0006,0.0748,0.029,0.067,0.477,False
2000s,521,0.0816,0.1279,0.677,1.934,0.5451,False
2010s,522,-0.027,0.0793,-0.306,-0.945,0.4349,False
2020s,339,0.011,0.1748,0.149,0.391,0.528,False
