component,weeks
publication_delay_weeks,5
domain_observation_availability_delay_weeks,2
transformation_delay_weeks,4
raw_phase_score_delay_weeks,0
transition_filter_delay_weeks,0
confirmation_delay_weeks,0
freshness_or_withholding_delay_weeks,0
sequential_layer_sum,11
calendar_recovery_latency,11
evidence_availability_adjusted_latency,4
state_machine_delay,0
date::calendar_trough_interval_end,2020-04-30
date::first_post_trough_data_available,2020-06-05
date::recovery_observable_date,2020-06-19
date::first_raw_recovery,2020-07-17
date::recovery_recognizable_date,2020-07-17
date::first_filtered_recovery,2020-07-17
date::first_official_recovery,2020-07-17
date::transformation_turn_date,2020-07-17
date::first_confirmed_recovery,2020-07-17
