phase,episode,start,end,weeks,block_only,block_only_weeks_removed,event_including,event_including_weeks_removed
recovery,1,2002-07-05,2002-09-06,10,0.0177,10,0.0136,36
recovery,2,2003-06-27,2004-02-13,34,0.0151,34,0.0147,60
recovery,3,2009-06-05,2010-08-06,62,0.0105,62,0.0099,88
recovery,4,2020-07-03,2021-03-19,38,0.0102,38,0.0091,64
expansion,1,1994-07-15,1995-04-21,41,0.01,41,0.0052,67
expansion,2,1995-07-28,1998-08-21,161,0.0116,161,0.013,187
expansion,3,1998-09-04,2000-07-21,99,-0.0057,99,0.0001,125
expansion,4,2002-02-01,2002-06-28,22,0.0187,22,0.0211,48
expansion,5,2002-09-13,2003-03-07,26,0.0119,26,0.0182,52
expansion,6,2003-05-23,2003-06-20,5,0.0149,5,0.0152,31
expansion,7,2004-02-20,2005-10-14,87,0.0123,87,0.0177,113
expansion,8,2005-11-18,2007-08-31,94,0.0178,94,0.0194,120
expansion,9,2007-10-12,2008-01-11,14,0.0136,14,0.0148,40
expansion,10,2010-08-13,2018-12-14,436,0.0155,436,0.0246,462
expansion,11,2019-04-19,2019-06-28,11,0.0155,11,0.0169,37
expansion,12,2019-08-23,2019-11-22,14,0.0157,14,0.0131,40
expansion,13,2020-03-06,2020-03-06,1,0.0153,1,0.0103,27
expansion,14,2021-03-26,2022-07-08,68,0.0187,68,0.0196,94
expansion,15,2022-08-12,2023-01-06,22,0.0136,22,0.0148,48
expansion,16,2023-02-10,2025-11-28,147,0.0155,147,0.0118,173
expansion,17,2026-01-09,2026-08-14,32,0.0138,32,0.0138,32
slowdown,1,1995-04-28,1995-07-21,13,0.0174,13,0.0133,39
slowdown,2,1998-08-28,1998-08-28,1,0.0181,1,0.0105,27
slowdown,3,2000-07-28,2001-01-19,26,0.0218,26,0.0249,52
slowdown,4,2005-10-21,2005-11-11,4,0.0174,4,0.0192,30
slowdown,5,2007-09-07,2007-10-05,5,0.0169,5,0.017,31
slowdown,6,2008-01-18,2008-01-18,1,0.0177,1,0.0172,27
slowdown,7,2018-12-21,2019-04-12,17,0.0165,17,0.0202,43
slowdown,8,2019-07-05,2019-08-16,7,0.0166,7,0.0157,33
slowdown,9,2022-07-15,2022-08-05,4,0.0166,4,0.0164,30
slowdown,10,2023-01-13,2023-02-03,4,0.017,4,0.0161,30
slowdown,11,2025-12-05,2026-01-02,5,0.0155,5,0.0141,31
contraction,1,2001-01-26,2002-01-25,53,0.0194,53,0.0242,79
contraction,2,2003-03-14,2003-05-16,10,0.0177,10,0.0169,36
contraction,3,2008-01-25,2009-05-29,71,0.0209,71,0.023,97
contraction,4,2019-11-29,2020-02-28,14,0.0137,14,0.0099,40
contraction,5,2020-03-13,2020-06-26,16,0.0136,16,0.0079,42
