sample,horizon_weeks,phase,v1_1_weeks,v1_1_ratio,v1_1_p,persist17w_weeks,persist17w_ratio,persist17w_p
real_time_ex_covid,4,recovery,10,0.54,0.7566,10,0.54,0.7566
real_time_ex_covid,4,expansion,288,3.724,0.0037,593,0.925,0.5506
real_time_ex_covid,4,slowdown,328,3.954,0.0037,23,1.255,0.3521
real_time_ex_covid,4,contraction,0,,,0,,
real_time_ex_covid,13,recovery,10,1.37,0.3596,10,1.37,0.3596
real_time_ex_covid,13,expansion,288,0.394,0.9251,593,3.35,0.0468
real_time_ex_covid,13,slowdown,328,0.418,0.9232,23,1.304,0.3577
real_time_ex_covid,13,contraction,0,,,0,,
real_time_ex_covid,26,recovery,10,0.743,0.6723,10,0.743,0.6723
real_time_ex_covid,26,expansion,288,0.405,0.8858,593,1.331,0.294
real_time_ex_covid,26,slowdown,328,0.814,0.6592,23,0.845,0.6124
real_time_ex_covid,26,contraction,0,,,0,,
real_time_overlap,4,recovery,34,5.413,0.041,34,5.413,0.041
real_time_overlap,4,expansion,288,4.752,0.0017,593,6.644,0.0102
real_time_overlap,4,slowdown,338,1.354,0.2969,33,1.266,0.3737
real_time_overlap,4,contraction,18,5.905,0.0529,18,5.905,0.0529
real_time_overlap,13,recovery,34,4.717,0.041,34,4.717,0.041
real_time_overlap,13,expansion,288,1.177,0.3942,593,4.094,0.0597
real_time_overlap,13,slowdown,338,0.287,0.9863,33,1.297,0.3362
real_time_overlap,13,contraction,18,11.908,0.0017,18,11.908,0.0017
real_time_overlap,26,recovery,34,4.094,0.0392,34,4.094,0.0392
real_time_overlap,26,expansion,288,1.347,0.314,593,7.465,0.0068
real_time_overlap,26,slowdown,338,0.854,0.6126,33,2.25,0.0956
real_time_overlap,26,contraction,18,16.765,0.0017,18,16.765,0.0017
revised_long,4,recovery,151,1.916,0.2333,144,2.446,0.1596
revised_long,4,expansion,685,2.65,0.0413,1280,3.744,0.0121
revised_long,4,slowdown,677,0.453,0.9091,87,1.082,0.452
revised_long,4,contraction,162,1.339,0.3325,164,1.482,0.2823
revised_long,13,recovery,151,1.862,0.2441,144,1.968,0.2187
revised_long,13,expansion,685,2.52,0.0388,1280,3.644,0.028
revised_long,13,slowdown,677,0.369,0.9619,87,3.353,0.0572
revised_long,13,contraction,162,2.008,0.1532,164,2.022,0.1411
