sample,horizon_weeks,v1_1_dispersion_ratio,v1_1_p,persist17w_dispersion_ratio,persist17w_p,v1_1_cells_surviving_bh,persist17w_cells_surviving_bh,cells_tested,expected_false_positives
real_time_ex_covid,4,2.303,0.0712,0.85,0.6236,2,0,36,1.8
real_time_ex_covid,13,0.725,0.7715,1.326,0.3427,0,1,36,1.8
real_time_ex_covid,26,0.623,0.9045,0.712,0.7434,0,0,36,1.8
real_time_overlap,4,4.029,0.0154,3.692,0.0273,2,2,48,2.4
real_time_overlap,13,4.604,0.0137,5.422,0.0017,3,5,48,2.4
real_time_overlap,26,5.558,0.0017,6.586,0.0017,1,3,48,2.4
revised_long,4,1.446,0.2454,1.603,0.1971,2,4,48,2.4
revised_long,13,1.654,0.1926,2.166,0.0718,2,3,48,2.4
revised_long,26,1.951,0.1341,2.416,0.0585,2,2,48,2.4
revised_long_ex_both,4,0.931,0.5653,1.045,0.4608,0,0,48,2.4
revised_long_ex_both,13,0.929,0.5822,1.672,0.1397,0,2,48,2.4
revised_long_ex_both,26,1.009,0.4947,1.503,0.1997,0,1,48,2.4
revised_long_ex_covid,4,0.907,0.5733,0.999,0.5016,0,2,48,2.4
revised_long_ex_covid,13,0.907,0.5897,1.623,0.2005,0,1,48,2.4
revised_long_ex_covid,26,1.028,0.4747,1.421,0.2512,0,2,48,2.4
revised_long_ex_gfc,4,1.512,0.1579,1.728,0.111,2,3,48,2.4
revised_long_ex_gfc,13,1.73,0.113,2.392,0.0265,2,7,48,2.4
revised_long_ex_gfc,26,2.189,0.032,2.787,0.0027,1,2,48,2.4
revised_overlap,4,3.082,0.0171,2.813,0.1041,2,2,48,2.4
revised_overlap,13,3.282,0.0137,4.053,0.041,3,3,48,2.4
revised_overlap,26,4.098,0.0017,5.705,0.0017,4,5,48,2.4
