as_of,future_observations,last_modelled_week,raw_phase,official_phase,phase_status,activity_level,activity_momentum,negative_level_domains,negative_momentum_domains,positive_momentum_domains,confirming_domains,concentration,dominant_domain,labor_stress_level,labor_stress_momentum,recession_alert,recession_alert_character,evidence_quality_high,phase_separation,confirmation_pending,filtered_winner,contraction_evidence,alert_evidence,slowdown_evidence,information_lag_weeks,weeks_since_any_new_observation,fresh_coincident_domains,stale_domains,carried_forward_domains,withheld,raw_recovery,filtered_recovery,raw_expansion,filtered_expansion,raw_slowdown,filtered_slowdown,raw_contraction,filtered_contraction,age_production,arrived_production,age_employment,arrived_employment,age_real_income,arrived_real_income,age_consumption,arrived_consumption,age_labor_stress,arrived_labor_stress,latest_observation_PAYEMS,latest_observation_W875RX1,latest_observation_INDPRO,latest_observation_CMRMTSPL,latest_observation_RRSFS,latest_observation_ICSA,latest_observation_CCSA,gate
2013-06-14,0,2013-06-14,expansion,expansion,official,0.4794870609339569,0.05604758395821273,0,1,1,1,0.4297468575430143,labor_stress,1.0302902883445189,0.5893129476524519,none,absent,False,0.7336231512457707,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.17119555909168974,0.05775501954342367,0.5788037432345406,0.8379340209036775,0.24999976744207678,0.1043108696579068,9.302316928077275e-07,8.98949920225356e-08,4.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2013-05-01,2013-04-01,2013-05-01,2013-02-01,2013-04-01,2013-06-08,2013-06-01,persist17w
2013-06-21,0,2013-06-21,expansion,expansion,official,0.47063991382074616,0.026282732038699946,0,1,1,1,0.41287609891134397,labor_stress,0.971579858051404,0.2453543496273584,none,absent,False,0.7308630035542311,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.16858192325622565,0.058823834407692545,0.5814173790700047,0.8360195383331935,0.24999976744207678,0.10515653477896247,9.302316928077275e-07,9.248015139621031e-08,5.0,0,6.0,0,7.0,0,5.0,0,0.0,1,2013-05-01,2013-04-01,2013-05-01,2013-02-01,2013-05-01,2013-06-15,2013-06-08,persist17w
2013-06-28,0,2013-06-28,expansion,expansion,official,0.4909981912511392,-0.047772391602932854,0,1,1,1,0.4052048942031344,labor_stress,0.994774350699241,-0.25838206817560744,none,absent,False,0.7431393909616215,0,expansion,0.0,0.05605965056669857,0.0,0,0,4,,4,0,0.15028609585417385,0.05092341993128094,0.5997132064720565,0.8461079404924613,0.2499997674420768,0.10296854953083974,9.302316928077276e-07,9.004541805375801e-08,6.0,0,7.0,0,4.0,0,6.0,0,0.0,1,2013-05-01,2013-05-01,2013-05-01,2013-04-01,2013-05-01,2013-06-22,2013-06-15,persist17w
2013-07-05,0,2013-07-05,expansion,expansion,official,0.4948738779197873,-0.06763880782022957,0,1,1,1,0.39931829639412586,labor_stress,0.9880609693044204,-0.4945382138015844,none,absent,False,0.7486980416826989,0,expansion,0.0,0.10663591521004008,0.0,0,0,4,,4,0,0.1458669433211129,0.04775566614003969,0.6041323590051174,0.8504711440083866,0.2499997674420768,0.10177310232568769,9.302316928077276e-07,8.752588594341528e-08,7.0,0,3.0,0,5.0,0,7.0,0,0.0,1,2013-06-01,2013-05-01,2013-05-01,2013-04-01,2013-05-01,2013-06-29,2013-06-22,persist17w
2013-07-12,0,2013-07-12,expansion,expansion,official,0.4788826027765921,-0.10873138390970531,0,1,1,1,0.37790910664193805,labor_stress,0.90487048300834,-0.7030829656567966,none,absent,False,0.7531750133570015,0,expansion,0.0,0.15316525174657916,0.0,0,0,4,,4,0,0.14256306767333876,0.045485420095996175,0.6074362346528915,0.8538447538605318,0.24999976744207678,0.1006697405035303,9.302316928077275e-07,8.553994168640602e-08,8.0,0,4.0,0,6.0,0,8.0,0,0.0,1,2013-06-01,2013-05-01,2013-05-01,2013-04-01,2013-05-01,2013-07-06,2013-06-29,persist17w
2013-07-19,0,2013-07-19,expansion,expansion,official,0.48096241749421625,0.040538387436235654,0,0,1,0,0.3796917123898032,labor_stress,0.913087219467592,-0.6860181973502951,none,absent,False,0.7519715585625232,0,expansion,0.0,0.1470038994322061,0.0,0,0,4,,4,0,0.17114119442530418,0.058773956700964955,0.5921716923790633,0.8465987559156931,0.23668616645096666,0.09462719735316993,9.467446658038666e-07,9.00301720838427e-08,4.0,0,5.0,0,7.0,0,4.0,0,0.0,1,2013-06-01,2013-05-01,2013-06-01,2013-04-01,2013-06-01,2013-07-13,2013-07-06,persist17w
2013-07-26,0,2013-07-26,expansion,expansion,official,0.48033919948488873,0.09740576606388622,0,0,1,0,0.3766503493991443,labor_stress,0.9045996365804432,-0.4019216236610853,none,absent,False,0.7463881446857348,0,expansion,0.0,0.0861260622130897,0.0,0,0,4,,4,0,0.18099269878328528,0.06263748790573107,0.5823201880210823,0.8418752830364515,0.23668616645096666,0.09548713835071679,9.467446658038666e-07,9.070710059481946e-08,5.0,0,6.0,0,8.0,0,5.0,0,0.0,1,2013-06-01,2013-05-01,2013-06-01,2013-04-01,2013-06-01,2013-07-20,2013-07-13,persist17w
2013-08-02,0,2013-08-02,expansion,expansion,official,0.46032880977582397,-0.08286449285945585,0,0,0,0,0.40653743587551977,labor_stress,0.9357044699294669,-0.12127179323976914,none,absent,False,0.7727762296405278,0,expansion,0.0,0.030254829816630965,0.0,0,0,4,,4,0,0.14533910453588378,0.044610669098617946,0.6153937902869558,0.8640827389680934,0.2392661481125678,0.0913065093275656,9.57064592450271e-07,8.260572311959443e-08,6.0,0,3.0,0,4.0,0,6.0,0,0.0,1,2013-07-01,2013-06-01,2013-06-01,2013-04-01,2013-06-01,2013-07-27,2013-07-20,persist17w
2013-08-09,0,2013-08-09,expansion,expansion,official,0.5077893864693657,-0.0411296328192307,0,0,0,0,0.393015632068455,labor_stress,0.9978458334045537,-0.17095750991414374,none,absent,True,0.7923502597415122,0,expansion,0.0,0.03663375212445937,0.0,0,0,4,,4,0,0.1349921804057712,0.04075924664276837,0.6357377092626035,0.8757954684769559,0.22926919325485232,0.08344520873544368,9.170767730194092e-07,7.614483202429374e-08,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2013-07-01,2013-06-01,2013-06-01,2013-05-01,2013-06-01,2013-08-03,2013-07-27,persist17w
2013-08-16,0,2013-08-16,expansion,expansion,official,0.5130932646676906,0.002033208275054638,0,0,0,0,0.4175065889862049,labor_stress,1.0710990938160176,0.23336405052344114,none,absent,True,0.7903371304033234,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.14050386537165477,0.04214212583919453,0.6300402365868901,0.8740974643519088,0.22945498022153427,0.08376033394858542,9.17819920886137e-07,7.586031126335694e-08,4.0,0,5.0,0,6.0,0,4.0,0,0.0,1,2013-07-01,2013-06-01,2013-07-01,2013-05-01,2013-07-01,2013-08-10,2013-08-03,persist17w
2013-08-23,0,2013-08-23,expansion,expansion,official,0.5144620973025601,-0.005038119558453058,0,0,0,0,0.4190183951558441,labor_stress,1.0778454119011422,0.19527538562995173,none,absent,True,0.7898383168626812,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.13907658131816103,0.042262466382060535,0.6315156314880133,0.8737878868992541,0.2294068695663474,0.08394957003657287,9.176274782653896e-07,7.668211241218002e-08,5.0,0,6.0,0,7.0,0,5.0,0,0.0,1,2013-07-01,2013-06-01,2013-07-01,2013-05-01,2013-07-01,2013-08-17,2013-08-10,persist17w
2013-08-30,0,2013-08-30,expansion,expansion,official,0.47057025151798565,-0.10831250430057873,0,1,0,1,0.44389216042059243,labor_stress,1.044412227879901,0.09262206877010565,none,absent,False,0.7560901375862291,0,expansion,0.0,0.004239797189912149,0.0,0,0,4,,4,0,0.13594952338912836,0.04218603038645994,0.6115007182599247,0.8569520113179436,0.25254881863441253,0.1008618737317145,9.397165344536281e-07,8.456388198674454e-08,6.0,0,7.0,0,4.0,0,6.0,0,0.0,1,2013-07-01,2013-07-01,2013-07-01,2013-06-01,2013-07-01,2013-08-24,2013-08-17,persist17w
2013-09-06,0,2013-09-06,expansion,expansion,official,0.4751940928215955,-0.06432667227120227,0,1,0,1,0.45640717710898915,labor_stress,1.0844099724178569,0.4990671714994705,none,absent,False,0.7539497289235124,0,expansion,0.0,0.0021589921279869233,0.0,0,0,4,,4,0,0.14234025450174917,0.04381035584700961,0.6049901606045437,0.8550696444984199,0.252668644731308,0.10111991557490754,9.401623990002159e-07,8.407966306263203e-08,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2013-08-01,2013-07-01,2013-07-01,2013-06-01,2013-07-01,2013-08-31,2013-08-24,persist17w
2013-09-13,0,2013-09-13,expansion,expansion,official,0.5012029358815095,0.023596971063578897,0,1,0,1,0.47458491390795177,labor_stress,1.1893167608786945,0.8296659216805092,none,absent,False,0.7463362625117462,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.15031612164183492,0.047883101598973674,0.5968647455382399,0.8492265370804759,0.2528181921010708,0.10289027456872972,9.407188543295658e-07,8.675182067878795e-08,8.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2013-08-01,2013-07-01,2013-07-01,2013-06-01,2013-07-01,2013-09-07,2013-08-31,persist17w
