week,sample,official_phase,raw_phase,filtered_winner,phase_status,activity_level,activity_momentum,phase_separation,evidence_quality,confirmation_pending,neutral_both,raw_versus_official_run,confirming_domains,positive_momentum_domains,concentration,semantic_class,reason_code,raw_recovery,filtered_recovery,raw_expansion,filtered_expansion,raw_slowdown,filtered_slowdown,raw_contraction,filtered_contraction,sign_quadrant,level_sign_agrees,momentum_sign_agrees,level_materially_contradicted,momentum_materially_contradicted,both_signs_contradicted,sign_quadrant_diverges,sub_normal_expansion,labor_stress_momentum,labor_stress_level,separation_floor
1994-07-15,latest_vintage_causal,expansion,expansion,expansion,official,0.680803,0.21441,0.260908,high,0,False,0,1,2,0.39244,semantically_supported,official_equals_raw_high_quality,0.127325,0.127325,0.566791,0.566791,0.305883,0.305883,1e-06,1e-06,expansion,True,True,False,False,False,False,False,0.41248,0.268528,0.1
1994-07-22,latest_vintage_causal,expansion,expansion,expansion,official,0.689021,0.388127,0.636442,high,0,False,0,0,2,0.358702,semantically_supported,official_equals_raw_high_quality,0.137447,0.060359,0.662489,0.788042,0.200062,0.1516,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.569473,0.246286,0.1
1994-07-29,latest_vintage_causal,expansion,expansion,expansion,official,0.690476,0.402835,0.766459,high,0,False,0,1,2,0.357911,semantically_supported,official_equals_raw_high_quality,0.136144,0.043796,0.65811,0.861331,0.205745,0.094872,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.64409,0.240759,0.1
1994-08-05,latest_vintage_causal,expansion,expansion,expansion,official,0.682644,0.367156,0.792408,high,0,False,0,1,2,0.361981,semantically_supported,official_equals_raw_high_quality,0.135327,0.0409,0.64405,0.875754,0.220623,0.083346,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.448925,0.247505,0.1
1994-08-12,latest_vintage_causal,expansion,expansion,expansion,official,0.684524,0.310484,0.778468,high,0,False,0,1,2,0.35997,semantically_supported,official_equals_raw_high_quality,0.130392,0.039747,0.622889,0.869361,0.246718,0.090893,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.350941,0.257482,0.1
1994-08-19,latest_vintage_causal,expansion,expansion,expansion,official,0.666384,0.149269,0.691275,high,0,False,0,1,1,0.408692,semantically_supported,official_equals_raw_high_quality,0.119526,0.038991,0.550758,0.826142,0.329715,0.134867,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.365818,0.295615,0.1
1994-08-26,latest_vintage_causal,expansion,expansion,expansion,official,0.671443,0.155971,0.651857,high,0,False,0,1,1,0.405613,semantically_supported,official_equals_raw_high_quality,0.119141,0.037935,0.554534,0.806961,0.326324,0.155104,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.400127,0.324727,0.1
1994-09-02,latest_vintage_causal,expansion,expansion,expansion,official,0.653611,0.194968,0.674492,high,0,False,0,0,1,0.416679,semantically_supported,official_equals_raw_high_quality,0.129574,0.039773,0.582085,0.817359,0.288341,0.142867,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.180733,0.30889,0.1
1994-09-09,latest_vintage_causal,expansion,expansion,expansion,official,0.659921,0.143818,0.653597,high,0,False,0,0,1,0.40626,semantically_supported,official_equals_raw_high_quality,0.123184,0.039067,0.560365,0.807265,0.31645,0.153668,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.110312,0.299609,0.1
1994-09-16,latest_vintage_causal,expansion,expansion,expansion,official,0.759166,0.476797,0.814381,high,0,False,0,0,2,0.347728,semantically_supported,official_equals_raw_high_quality,0.126991,0.035298,0.703689,0.889542,0.169318,0.075161,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.26283,0.302184,0.1
1994-09-23,latest_vintage_causal,expansion,expansion,expansion,official,0.754823,0.570066,0.875932,high,0,False,0,0,3,0.342596,semantically_supported,official_equals_raw_high_quality,0.132723,0.035479,0.729128,0.920227,0.138148,0.044295,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.327499,0.307389,0.1
1994-09-30,latest_vintage_causal,expansion,expansion,expansion,official,0.814233,0.67437,0.911238,high,0,False,0,0,3,0.317598,semantically_supported,official_equals_raw_high_quality,0.118238,0.030239,0.775741,0.941477,0.10602,0.028284,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.436076,0.332971,0.1
1994-10-07,latest_vintage_causal,expansion,expansion,expansion,official,0.816224,0.690063,0.916118,high,0,False,0,0,4,0.316824,semantically_supported,official_equals_raw_high_quality,0.118321,0.029366,0.779361,0.945485,0.102317,0.025149,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.489742,0.354767,0.1
1994-10-14,latest_vintage_causal,expansion,expansion,expansion,official,0.801028,0.549166,0.9,high,0,False,0,0,3,0.322834,semantically_supported,official_equals_raw_high_quality,0.116352,0.029786,0.743585,0.935107,0.140062,0.035107,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.19866,0.345588,0.1
1994-10-21,latest_vintage_causal,expansion,expansion,expansion,official,0.775979,0.537836,0.892994,high,0,False,0,0,3,0.377163,semantically_supported,official_equals_raw_high_quality,0.121074,0.031283,0.736175,0.930855,0.14275,0.037861,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.0185,0.342407,0.1
1994-10-28,latest_vintage_causal,expansion,expansion,expansion,official,0.773906,0.543925,0.892756,high,0,False,0,0,3,0.378173,semantically_supported,official_equals_raw_high_quality,0.121782,0.031659,0.737436,0.930548,0.140781,0.037792,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.085089,0.335549,0.1
1994-11-04,latest_vintage_causal,expansion,expansion,expansion,official,0.892139,0.817524,0.929293,high,0,False,0,0,3,0.328055,semantically_supported,official_equals_raw_high_quality,0.106549,0.025735,0.816155,0.955028,0.077296,0.019236,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.159983,0.341007,0.1
1994-11-11,latest_vintage_causal,expansion,expansion,expansion,official,0.914538,0.89797,0.937743,high,0,False,0,0,4,0.32002,semantically_supported,official_equals_raw_high_quality,0.103886,0.023971,0.831994,0.961715,0.064119,0.014314,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.320628,0.373372,0.1
1994-11-18,latest_vintage_causal,expansion,expansion,expansion,official,0.951693,0.724787,0.927752,high,0,False,0,1,3,0.327691,semantically_supported,official_equals_raw_high_quality,0.09767,0.023168,0.793591,0.952292,0.108739,0.02454,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.347388,0.383259,0.1
1994-11-25,latest_vintage_causal,expansion,expansion,expansion,official,0.95408,0.717078,0.924297,high,0,False,0,1,3,0.325124,semantically_supported,official_equals_raw_high_quality,0.097042,0.022955,0.792238,0.950671,0.110719,0.026374,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.309359,0.40353,0.1
1994-12-02,latest_vintage_causal,expansion,expansion,expansion,official,0.878989,0.460693,0.874268,high,0,False,0,1,3,0.348572,semantically_supported,official_equals_raw_high_quality,0.100733,0.025887,0.70833,0.924191,0.190935,0.049922,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.20823,0.406552,0.1
1994-12-09,latest_vintage_causal,expansion,expansion,expansion,official,0.870024,0.555786,0.884552,high,0,False,0,1,3,0.347897,semantically_supported,official_equals_raw_high_quality,0.106759,0.026988,0.737441,0.928782,0.155799,0.04423,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.297357,0.40955,0.1
1994-12-16,latest_vintage_causal,expansion,expansion,expansion,official,0.89326,0.824901,0.930321,high,0,False,0,0,4,0.338848,semantically_supported,official_equals_raw_high_quality,0.106491,0.025102,0.817532,0.955423,0.075976,0.019475,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.331183,0.427379,0.1
1994-12-23,latest_vintage_causal,expansion,expansion,expansion,official,0.937915,0.891578,0.93976,high,0,False,0,0,4,0.36878,semantically_supported,official_equals_raw_high_quality,0.099533,0.02283,0.835049,0.96259,0.065417,0.01458,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.340513,0.438229,0.1
1994-12-30,latest_vintage_causal,expansion,expansion,expansion,official,0.971161,0.75036,0.937654,high,0,False,0,0,3,0.354398,semantically_supported,official_equals_raw_high_quality,0.091148,0.021019,0.816952,0.958673,0.0919,0.020308,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.420308,0.457012,0.1
1995-01-06,latest_vintage_causal,expansion,expansion,expansion,official,0.968808,0.709553,0.932777,high,0,False,0,0,3,0.353515,semantically_supported,official_equals_raw_high_quality,0.090618,0.020875,0.808419,0.955951,0.100962,0.023174,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.216974,0.453696,0.1
1995-01-13,latest_vintage_causal,expansion,expansion,expansion,official,0.969287,0.584924,0.915185,high,0,False,0,0,3,0.351084,semantically_supported,official_equals_raw_high_quality,0.087227,0.020658,0.778902,0.947263,0.13387,0.032079,1e-06,0.0,expansion,True,True,False,False,False,False,False,0.045843,0.434347,0.1
1995-01-20,latest_vintage_causal,expansion,expansion,expansion,official,0.946071,0.233123,0.822144,high,0,False,0,0,3,0.330702,semantically_supported,official_equals_raw_high_quality,0.076125,0.020573,0.649104,0.900786,0.274771,0.078642,1e-06,0.0,expansion,True,True,False,False,False,False,False,-0.261735,0.401797,0.1
1995-01-27,latest_vintage_causal,expansion,expansion,expansion,official,0.940617,0.202693,0.7736,high,0,False,0,0,3,0.33262,semantically_supported,official_equals_raw_high_quality,0.075216,0.020358,0.634442,0.876621,0.290341,0.103021,1e-06,0.0,expansion,True,True,False,False,False,False,False,-0.425258,0.376909,0.1
1995-02-03,latest_vintage_causal,expansion,expansion,expansion,official,0.948686,0.346762,0.817415,high,0,False,0,0,4,0.32979,semantically_supported,official_equals_raw_high_quality,0.081413,0.020579,0.697813,0.898418,0.220773,0.081003,1e-06,0.0,expansion,True,True,False,False,False,False,False,-0.402746,0.385832,0.1
1995-02-10,latest_vintage_causal,expansion,expansion,expansion,official,0.919141,0.251695,0.792985,high,0,False,0,0,3,0.340391,semantically_supported,official_equals_raw_high_quality,0.081007,0.021475,0.654722,0.885755,0.26427,0.09277,1e-06,0.0,expansion,True,True,False,False,False,False,False,-0.322217,0.399909,0.1
1995-02-17,latest_vintage_causal,expansion,slowdown,expansion,official,0.846721,-0.363059,0.239706,high,0,False,1,1,1,0.318542,semantically_supported,filter_absorbed_raw_flip,0.044912,0.018268,0.296186,0.610719,0.658901,0.371013,1e-06,0.0,slowdown,True,False,False,False,False,True,False,-0.330999,0.389085,0.1
1995-02-24,latest_vintage_causal,slowdown,slowdown,slowdown,official,0.833794,-0.414421,0.279226,high,0,False,0,1,1,0.32348,semantically_supported,official_equals_raw_high_quality,0.042128,0.011228,0.270776,0.354773,0.687095,0.633999,1e-06,0.0,slowdown,True,True,False,False,False,False,False,-0.588079,0.359882,0.1
1995-03-03,latest_vintage_causal,slowdown,slowdown,slowdown,official,0.812736,-0.549938,0.681667,high,0,False,0,1,0,0.331862,semantically_supported,official_equals_raw_high_quality,0.034132,0.005236,0.210389,0.156548,0.755478,0.838215,1e-06,0.0,slowdown,True,True,False,False,False,False,False,-0.794916,0.316821,0.1
1995-03-10,latest_vintage_causal,slowdown,slowdown,slowdown,official,0.795957,-0.669205,0.8795,high,0,False,0,2,0,0.335389,semantically_supported,official_equals_raw_high_quality,0.026537,0.002211,0.14852,0.059144,0.824942,0.938644,1e-06,0.0,slowdown,True,True,False,False,False,False,False,-0.855833,0.284296,0.1
1995-03-17,latest_vintage_causal,slowdown,slowdown,slowdown,official,0.773696,-0.594442,0.901015,high,0,False,0,2,0,0.317682,semantically_supported,official_equals_raw_high_quality,0.032351,0.001922,0.173223,0.048532,0.794425,0.949547,1e-06,0.0,slowdown,True,True,False,False,False,False,False,-0.7005,0.278822,0.1
