gate,separation_threshold,require_raw_agreement,stale_hold_weeks,transitions,phases_shorter_than_four_weeks,short_phase_list,contraction_call_week,contraction_delay_weeks,recovery_call_week,recovery_delay_weeks,phase_weeks,withheld_weeks,degraded_to_withheld_weeks,contraction_weeks_meet_the_two_domain_breadth_gate,blocked_weeks,blocked_transitions_that_were_short,blocked_transitions_that_lasted_four_weeks_or_more,whipsaw_to_real_ratio,longest_blocked_run_weeks,final_phase,final_week_phase
sep:off · raw:off,,False,8,72,18,"[{'phase': 'slowdown', 'start': '2013-06-14', 'weeks': 1}, {'phase': 'slowdown', 'start': '2013-11-29', 'weeks': 3}, {'phase': 'slowdown', 'start': '2014-09-26', 'weeks': 1}, {'phase': 'expansion', 'start': '2015-12-04', 'weeks': 1}, {'phase': 'expansion', 'start': '2016-03-25', 'weeks': 3}, {'phase': 'slowdown', 'start': '2017-08-04', 'weeks': 2}, {'phase': 'expansion', 'start': '2018-03-16', 'weeks': 2}, {'phase': 'slowdown', 'start': '2018-03-30', 'weeks': 3}, {'phase': 'contraction', 'start': '2020-01-17', 'weeks': 2}, {'phase': 'contraction', 'start': '2020-02-28', 'weeks': 1}, {'phase': 'slowdown', 'start': '2021-02-05', 'weeks': 2}, {'phase': 'expansion', 'start': '2021-02-19', 'weeks': 3}, {'phase': 'expansion', 'start': '2022-02-18', 'weeks': 1}, {'phase': 'slowdown', 'start': '2022-02-25', 'weeks': 3}, {'phase': 'expansion', 'start': '2024-10-11', 'weeks': 1}, {'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}, {'phase': 'slowdown', 'start': '2026-01-23', 'weeks': 1}, {'phase': 'slowdown', 'start': '2026-04-17', 'weeks': 2}]",2020-04-03,0,2020-07-17,0,"{'recovery': 34, 'expansion': 288, 'slowdown': 338, 'contraction': 18}",10,0,True,0,0,0,,0,expansion,expansion
sep:off · raw:on,,True,8,63,10,"[{'phase': 'slowdown', 'start': '2013-06-14', 'weeks': 1}, {'phase': 'slowdown', 'start': '2013-11-29', 'weeks': 3}, {'phase': 'slowdown', 'start': '2014-09-26', 'weeks': 2}, {'phase': 'expansion', 'start': '2016-03-25', 'weeks': 3}, {'phase': 'slowdown', 'start': '2017-08-04', 'weeks': 2}, {'phase': 'expansion', 'start': '2018-03-16', 'weeks': 2}, {'phase': 'expansion', 'start': '2024-10-11', 'weeks': 1}, {'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}, {'phase': 'slowdown', 'start': '2026-01-23', 'weeks': 1}, {'phase': 'slowdown', 'start': '2026-04-17', 'weeks': 3}]",2020-04-03,0,2020-07-17,0,"{'recovery': 34, 'expansion': 279, 'slowdown': 350, 'contraction': 15}",10,0,True,12,5,3,1.67,3,expansion,expansion
sep>=0.4 · raw:off,0.4,False,8,55,8,"[{'phase': 'expansion', 'start': '2016-03-25', 'weeks': 3}, {'phase': 'expansion', 'start': '2016-12-02', 'weeks': 2}, {'phase': 'slowdown', 'start': '2017-08-04', 'weeks': 2}, {'phase': 'expansion', 'start': '2018-03-16', 'weeks': 3}, {'phase': 'contraction', 'start': '2020-01-17', 'weeks': 2}, {'phase': 'contraction', 'start': '2020-02-28', 'weeks': 1}, {'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}, {'phase': 'slowdown', 'start': '2026-01-23', 'weeks': 3}]",2020-04-03,0,2020-07-17,0,"{'recovery': 34, 'expansion': 277, 'slowdown': 349, 'contraction': 18}",10,0,True,49,8,14,0.57,6,expansion,expansion
sep>=0.5 · raw:off,0.5,False,8,47,6,"[{'phase': 'expansion', 'start': '2016-03-25', 'weeks': 3}, {'phase': 'expansion', 'start': '2016-12-02', 'weeks': 2}, {'phase': 'contraction', 'start': '2020-02-28', 'weeks': 1}, {'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}, {'phase': 'slowdown', 'start': '2026-01-23', 'weeks': 3}, {'phase': 'slowdown', 'start': '2026-07-10', 'weeks': 3}]",2020-04-03,0,2020-07-17,0,"{'recovery': 35, 'expansion': 287, 'slowdown': 340, 'contraction': 16}",10,0,True,70,10,19,0.53,6,expansion,expansion
sep>=0.6 · raw:off,0.6,False,8,40,5,"[{'phase': 'slowdown', 'start': '2013-11-29', 'weeks': 3}, {'phase': 'slowdown', 'start': '2016-11-11', 'weeks': 3}, {'phase': 'expansion', 'start': '2016-12-02', 'weeks': 3}, {'phase': 'contraction', 'start': '2020-02-28', 'weeks': 1}, {'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}]",2020-04-03,0,2020-07-17,0,"{'recovery': 39, 'expansion': 256, 'slowdown': 362, 'contraction': 16}",15,5,True,101,9,21,0.43,11,slowdown,slowdown
sep>=0.7 · raw:off,0.7,False,8,26,2,"[{'phase': 'contraction', 'start': '2020-02-28', 'weeks': 1}, {'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}]",2020-04-03,0,2020-07-24,1,"{'recovery': 43, 'expansion': 202, 'slowdown': 408, 'contraction': 17}",18,8,True,139,10,22,0.45,11,slowdown,slowdown
sep>=0.4 · raw:on,0.4,True,8,51,6,"[{'phase': 'expansion', 'start': '2016-03-25', 'weeks': 3}, {'phase': 'expansion', 'start': '2016-12-02', 'weeks': 2}, {'phase': 'slowdown', 'start': '2017-08-04', 'weeks': 2}, {'phase': 'expansion', 'start': '2018-03-16', 'weeks': 3}, {'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}, {'phase': 'slowdown', 'start': '2026-01-23', 'weeks': 3}]",2020-04-03,0,2020-07-17,0,"{'recovery': 34, 'expansion': 277, 'slowdown': 352, 'contraction': 15}",10,0,True,52,10,14,0.71,6,expansion,expansion
sep>=0.5 · raw:on,0.5,True,8,45,5,"[{'phase': 'expansion', 'start': '2016-03-25', 'weeks': 3}, {'phase': 'expansion', 'start': '2016-12-02', 'weeks': 2}, {'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}, {'phase': 'slowdown', 'start': '2026-01-23', 'weeks': 3}, {'phase': 'slowdown', 'start': '2026-07-10', 'weeks': 3}]",2020-04-03,0,2020-07-17,0,"{'recovery': 35, 'expansion': 287, 'slowdown': 341, 'contraction': 15}",10,0,True,71,11,19,0.58,6,expansion,expansion
sep>=0.6 · raw:on,0.6,True,8,38,4,"[{'phase': 'slowdown', 'start': '2013-11-29', 'weeks': 3}, {'phase': 'slowdown', 'start': '2016-11-11', 'weeks': 3}, {'phase': 'expansion', 'start': '2016-12-02', 'weeks': 3}, {'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}]",2020-04-03,0,2020-07-17,0,"{'recovery': 39, 'expansion': 256, 'slowdown': 363, 'contraction': 15}",15,5,True,102,10,21,0.48,11,slowdown,slowdown
sep>=0.7 · raw:on,0.7,True,8,24,1,"[{'phase': 'slowdown', 'start': '2025-12-26', 'weeks': 3}]",2020-04-03,0,2020-07-24,1,"{'recovery': 43, 'expansion': 202, 'slowdown': 409, 'contraction': 16}",18,8,True,140,11,22,0.5,11,slowdown,slowdown
