week,from,to,separation,raw,raw_agrees,raw_stayed_on_previous,duration_weeks,censored,short,reverted_within_window,target_is_gated_phase
2013-06-21,slowdown,expansion,0.1236310250852968,expansion,True,False,6,False,False,False,False
2013-08-02,expansion,slowdown,0.3178525915662243,slowdown,True,False,8,False,False,False,False
2013-09-27,slowdown,expansion,0.464063178515962,expansion,True,False,9,False,False,False,False
2013-11-29,expansion,slowdown,0.392818128993609,slowdown,True,False,3,False,True,False,False
2013-12-20,slowdown,expansion,0.656161977202316,expansion,True,False,8,False,False,False,False
2014-02-14,expansion,slowdown,0.8446201833905097,slowdown,True,False,9,False,False,False,False
2014-04-18,slowdown,expansion,0.8229337004922329,expansion,True,False,23,False,False,False,False
2014-09-26,expansion,slowdown,0.3142921880465269,slowdown,True,False,1,False,True,True,False
2014-10-03,slowdown,expansion,0.0295236779633125,slowdown,False,True,21,False,False,False,False
2015-02-27,expansion,slowdown,0.3661164394315781,slowdown,True,False,17,False,False,False,False
2015-06-26,slowdown,expansion,0.1592365930575798,expansion,True,False,5,False,False,False,False
2015-07-31,expansion,slowdown,0.2281943392351382,slowdown,True,False,7,False,False,False,False
2015-09-18,slowdown,expansion,0.4115305168542163,expansion,True,False,4,False,False,False,False
2015-10-16,expansion,slowdown,0.617723819128315,slowdown,True,False,7,False,False,False,False
2015-12-04,slowdown,expansion,0.126860236035755,slowdown,False,True,1,False,True,True,False
2015-12-11,expansion,slowdown,0.2768552485329312,slowdown,True,False,15,False,False,False,False
2016-03-25,slowdown,expansion,0.5660268446668681,expansion,True,False,3,False,True,False,False
2016-04-15,expansion,slowdown,0.5573788562272469,slowdown,True,False,16,False,False,False,False
2016-08-05,slowdown,expansion,0.2066957131446467,expansion,True,False,8,False,False,False,False
2016-09-30,expansion,slowdown,0.327647585839483,slowdown,True,False,7,False,False,False,False
2016-11-18,slowdown,expansion,0.2250757445467536,expansion,True,False,4,False,False,False,False
2016-12-16,expansion,slowdown,0.5005734916706327,slowdown,True,False,11,False,False,False,False
2017-03-03,slowdown,expansion,0.711905930317955,expansion,True,False,5,False,False,False,False
2017-04-07,expansion,slowdown,0.5734327480074167,slowdown,True,False,5,False,False,False,False
2017-05-12,slowdown,expansion,0.379890797244281,expansion,True,False,12,False,False,False,False
2017-08-04,expansion,slowdown,0.4238936562244683,slowdown,True,False,2,False,True,True,False
2017-08-18,slowdown,expansion,0.4110083619457481,expansion,True,False,4,False,False,False,False
2017-09-15,expansion,slowdown,0.9151410569519028,slowdown,True,False,9,False,False,False,False
2017-11-17,slowdown,expansion,0.8023244160930919,expansion,True,False,13,False,False,False,False
2018-02-16,expansion,slowdown,0.4687511451186788,slowdown,True,False,4,False,False,False,False
2018-03-16,slowdown,expansion,0.5229099528950918,expansion,True,False,2,False,True,True,False
2018-03-30,expansion,slowdown,0.2155537020734844,slowdown,True,False,3,False,True,False,False
2018-04-20,slowdown,expansion,0.1328908569146231,slowdown,False,True,26,False,False,False,False
2018-10-19,expansion,slowdown,0.2413262593268686,slowdown,True,False,65,False,False,False,False
2020-01-17,slowdown,contraction,0.4190550209920983,slowdown,False,True,2,False,True,True,True
2020-01-31,contraction,slowdown,0.8955472082895085,slowdown,True,False,4,False,False,False,False
2020-02-28,slowdown,contraction,0.7543993519889234,slowdown,False,True,1,False,True,True,True
2020-03-06,contraction,slowdown,0.7280090374447405,slowdown,True,False,4,False,False,False,False
2020-04-03,slowdown,contraction,0.861513415857319,contraction,True,False,15,False,False,False,True
2020-07-17,contraction,recovery,0.6501754623940581,recovery,True,False,29,False,False,False,True
2021-02-05,recovery,slowdown,0.4742711840642252,slowdown,True,False,2,False,True,False,False
2021-02-19,slowdown,expansion,0.2138777093523556,recovery,False,False,3,False,True,False,False
2021-03-12,expansion,recovery,0.5634727932943455,recovery,True,False,5,False,False,False,True
2021-04-16,recovery,expansion,0.6059864350025264,expansion,True,False,27,False,False,False,False
2021-10-22,expansion,slowdown,0.8337970045990507,slowdown,True,False,4,False,False,False,False
2021-11-19,slowdown,expansion,0.8353195255131005,expansion,True,False,8,False,False,False,False
2022-01-14,expansion,slowdown,0.7110156042635567,slowdown,True,False,5,False,False,False,False
2022-02-18,slowdown,expansion,0.2250468699635319,slowdown,False,True,1,False,True,True,False
2022-02-25,expansion,slowdown,0.7688220464585592,slowdown,True,False,3,False,True,False,False
2022-03-18,slowdown,expansion,0.9045040299552864,expansion,True,False,10,False,False,False,False
2022-05-27,expansion,slowdown,0.7169320757212259,slowdown,True,False,18,False,False,False,False
2022-09-30,slowdown,expansion,0.7192907202989709,expansion,True,False,11,False,False,False,False
2022-12-16,expansion,slowdown,0.8759257424016409,slowdown,True,False,13,False,False,False,False
2023-03-17,slowdown,expansion,0.7314352204447919,expansion,True,False,4,False,False,False,False
2023-04-14,expansion,slowdown,0.8973535235777756,slowdown,True,False,18,False,False,False,False
2023-08-18,slowdown,expansion,0.6209192326401625,expansion,True,False,13,False,False,False,False
2023-11-17,expansion,slowdown,0.8072466892747738,slowdown,True,False,9,False,False,False,False
2024-01-19,slowdown,expansion,0.3964431845781724,expansion,True,False,8,False,False,False,False
2024-03-15,expansion,slowdown,0.2448323478713894,slowdown,True,False,18,False,False,False,False
2024-07-19,slowdown,expansion,0.693156742523046,expansion,True,False,6,False,False,False,False
2024-08-30,expansion,slowdown,0.1787132023217491,slowdown,True,False,6,False,False,False,False
2024-10-11,slowdown,expansion,0.2422505472297988,expansion,True,False,1,False,True,True,False
2024-10-18,expansion,slowdown,0.1230290000822858,slowdown,True,False,12,False,False,False,False
2025-01-10,slowdown,expansion,0.3604170602876495,expansion,True,False,11,False,False,False,False
2025-03-28,expansion,slowdown,0.7779829203496722,slowdown,True,False,5,False,False,False,False
2025-05-02,slowdown,expansion,0.6825075795765456,expansion,True,False,8,False,False,False,False
2025-06-27,expansion,slowdown,0.8797051027059763,slowdown,True,False,17,False,False,False,False
2026-01-30,slowdown,expansion,0.0725367406627239,expansion,True,False,11,False,False,False,False
2026-04-17,expansion,slowdown,0.2418024815279912,slowdown,True,False,2,False,True,True,False
2026-05-01,slowdown,expansion,0.0184413515436796,slowdown,False,True,9,False,False,False,False
