phase,episode,start,end,weeks,block_only,block_only_weeks_removed,event_including,event_including_weeks_removed
recovery,1,2002-07-05,2002-09-06,10,0.066423,10,0.065954,23
recovery,2,2003-06-27,2004-02-13,34,0.067665,34,0.066871,47
recovery,3,2009-06-05,2010-08-06,62,0.067127,62,0.068856,75
recovery,4,2020-07-03,2021-03-19,38,0.06863,38,0.068579,51
expansion,1,1994-07-15,1995-04-21,41,0.066842,41,0.066791,54
expansion,2,1995-07-28,1998-08-21,161,0.073406,161,0.08419,174
expansion,3,1998-09-04,2000-07-21,99,0.072301,99,0.071993,112
expansion,4,2002-02-01,2002-06-28,22,0.074961,22,0.074024,35
expansion,5,2002-09-13,2003-03-07,26,0.067956,26,0.065763,39
expansion,6,2003-05-23,2003-06-20,5,0.067132,5,0.067211,18
expansion,7,2004-02-20,2005-10-14,87,0.065319,87,0.065408,100
expansion,8,2005-11-18,2007-08-31,94,0.067311,94,0.067724,107
expansion,9,2007-10-12,2008-01-11,14,0.067901,14,0.078983,27
expansion,10,2010-08-13,2018-12-14,436,0.061573,436,0.062663,449
expansion,11,2019-04-19,2019-06-28,11,0.067162,11,0.067484,24
expansion,12,2019-08-23,2019-11-22,14,0.067316,14,0.050996,27
expansion,13,2020-03-06,2020-03-06,1,0.06709,1,0.069054,14
expansion,14,2021-03-26,2022-07-08,68,0.066754,68,0.065724,81
expansion,15,2022-08-12,2023-01-06,22,0.065743,22,0.066086,35
expansion,16,2023-02-10,2025-11-28,147,0.072831,147,0.07292,160
expansion,17,2026-01-09,2026-08-14,32,0.067799,32,0.067799,32
slowdown,1,1995-04-28,1995-07-21,13,0.06724,13,0.067235,26
slowdown,2,1998-08-28,1998-08-28,1,0.067451,1,0.076464,14
slowdown,3,2000-07-28,2001-01-19,26,0.067776,26,0.079836,39
slowdown,4,2005-10-21,2005-11-11,4,0.067378,4,0.067358,17
slowdown,5,2007-09-07,2007-10-05,5,0.06744,5,0.068099,18
slowdown,6,2008-01-18,2008-01-18,1,0.067245,1,0.079011,14
slowdown,7,2018-12-21,2019-04-12,17,0.068451,17,0.068432,30
slowdown,8,2019-07-05,2019-08-16,7,0.067614,7,0.067642,20
slowdown,9,2022-07-15,2022-08-05,4,0.067273,4,0.066278,17
slowdown,10,2023-01-13,2023-02-03,4,0.067561,4,0.067607,17
slowdown,11,2025-12-05,2026-01-02,5,0.067348,5,0.067857,18
contraction,1,2001-01-26,2002-01-25,53,0.113015,53,0.117795,66
contraction,2,2003-03-14,2003-05-16,10,0.065164,10,0.065073,23
contraction,3,2008-01-25,2009-05-29,71,0.021356,71,0.021078,84
contraction,4,2019-11-29,2020-02-28,14,0.052026,14,0.051163,27
contraction,5,2020-03-13,2020-06-26,16,0.070293,16,0.070579,29
